TestNo,MutantNo
1,2
1,132
1,133
1,135
1,136
1,138
1,4274
1,4276
1,4277
1,4278
1,4279
2,1027
3,1025
3,1026
3,1028
3,1029
4,1028
4,1029
4,1030
4,1031
4,1032
4,1033
4,1034
4,1035
4,1036
4,1037
4,1038
4,1039
4,1040
4,1041
4,1042
5,1027
6,1027
7,1027
8,1027
9,1027
10,1027
11,1027
12,1025
12,1026
12,1027
13,154
13,458
13,979
13,980
13,981
13,982
13,1142
13,1143
13,1144
13,1145
13,1146
13,1147
13,1148
13,1149
13,1150
14,154
14,458
14,979
14,980
14,981
14,982
14,1142
14,1143
14,1144
14,1145
14,1146
14,1147
15,154
15,458
15,979
15,980
15,981
15,982
15,1154
15,1155
15,1156
15,1157
15,1158
15,1159
15,1163
15,1164
15,1165
16,154
16,458
16,979
16,980
16,981
16,982
16,1142
16,1143
16,1144
16,1145
16,1146
16,1147
16,1148
16,1149
16,1150
17,154
17,458
17,979
17,980
17,981
17,982
17,1142
17,1143
17,1144
17,1145
17,1146
17,1147
17,1148
17,1149
17,1150
17,1151
17,1152
17,1153
18,154
18,458
18,979
18,980
18,981
18,982
18,1142
18,1143
18,1144
18,1145
18,1146
18,1147
18,1148
18,1149
18,1150
19,154
19,458
19,979
19,980
19,981
19,982
19,1154
19,1155
19,1156
19,1157
19,1158
19,1159
19,1163
19,1164
19,1165
20,154
20,458
20,979
20,980
20,981
20,982
20,1142
20,1143
20,1144
20,1145
20,1146
20,1147
20,1148
20,1149
20,1150
21,153
21,458
21,527
21,528
21,529
21,530
21,531
21,532
21,533
21,534
21,535
21,536
21,939
21,940
21,941
21,942
21,1114
21,1115
21,1116
21,1117
21,1118
21,1119
21,1120
21,1166
21,1167
21,1168
21,1169
21,1170
21,1171
21,1172
21,1173
22,154
22,458
22,979
22,980
22,981
22,982
22,1142
22,1143
22,1144
22,1145
22,1146
22,1147
22,1148
22,1149
22,1150
23,154
23,458
23,979
23,980
23,981
23,982
23,1142
23,1143
23,1144
23,1145
23,1146
23,1147
23,1148
23,1149
23,1150
24,458
24,1070
24,1071
24,1072
24,1073
24,1074
24,1075
25,154
25,458
25,979
25,980
25,981
25,982
25,1154
25,1155
25,1156
25,1157
25,1158
25,1159
25,1163
25,1164
25,1165
26,154
26,458
26,979
26,980
26,981
26,982
26,1154
26,1155
26,1156
26,1157
26,1158
26,1159
26,1163
26,1164
26,1165
27,154
27,458
27,979
27,980
27,981
27,982
27,1142
27,1143
27,1144
27,1145
27,1146
27,1147
27,1148
27,1149
27,1150
28,160
28,458
28,735
28,736
28,737
28,738
28,739
28,740
28,741
28,742
28,743
28,967
28,968
28,969
28,970
28,1135
28,1136
28,1137
28,1138
28,1139
28,1140
28,1141
28,1166
28,1167
28,1168
28,1169
28,1170
28,1171
28,1172
28,1173
29,154
29,458
29,979
29,980
29,981
29,982
29,1154
29,1155
29,1156
29,1157
29,1158
29,1159
29,1163
29,1164
29,1165
30,154
30,458
30,979
30,980
30,981
30,982
30,1142
30,1143
30,1144
30,1145
30,1146
30,1147
30,1148
30,1149
30,1150
30,1151
30,1152
30,1153
30,1154
30,1155
30,1156
30,1157
30,1158
30,1159
30,1160
30,1161
30,1162
30,1163
30,1164
30,1165
31,154
31,458
31,979
31,980
31,981
31,982
31,1142
31,1143
31,1144
31,1145
31,1146
31,1147
31,1148
31,1149
31,1150
31,1151
31,1152
31,1153
31,1154
31,1155
31,1156
31,1157
31,1158
31,1159
31,1160
31,1161
31,1162
31,1163
31,1164
31,1165
32,154
32,458
32,979
32,980
32,981
32,982
32,1142
32,1143
32,1144
32,1145
32,1146
32,1147
32,1148
32,1149
32,1150
33,154
33,458
33,979
33,980
33,981
33,982
33,1142
33,1143
33,1144
33,1145
33,1146
33,1147
33,1148
33,1149
33,1150
33,1151
33,1152
33,1153
33,1154
33,1155
33,1156
33,1157
33,1158
33,1159
33,1160
33,1161
33,1162
33,1163
33,1164
33,1165
34,154
34,458
34,979
34,980
34,981
34,982
34,1142
34,1143
34,1144
34,1145
34,1146
34,1147
34,1148
34,1149
34,1150
35,154
35,458
35,979
35,980
35,981
35,982
35,1142
35,1143
35,1144
35,1145
35,1146
35,1147
35,1148
35,1149
35,1150
36,159
36,458
36,711
36,712
36,713
36,714
36,715
36,716
36,717
36,718
36,719
36,963
36,964
36,965
36,966
36,1121
36,1122
36,1123
36,1124
36,1125
36,1126
36,1127
36,1166
36,1167
36,1168
36,1169
36,1170
36,1171
36,1172
36,1173
37,154
37,458
37,979
37,980
37,981
37,982
37,1154
37,1155
37,1156
37,1157
37,1158
37,1159
37,1163
37,1164
37,1165
38,154
38,458
38,553
38,554
38,555
38,556
38,557
38,558
38,559
38,560
38,561
38,562
38,943
38,944
38,945
38,946
38,1100
38,1101
38,1102
38,1103
38,1104
38,1105
38,1106
38,1166
38,1167
38,1168
38,1169
38,1170
38,1171
38,1172
38,1173
39,154
39,458
39,979
39,980
39,981
39,982
39,1142
39,1143
39,1144
39,1145
39,1146
39,1147
39,1148
39,1149
39,1150
40,154
40,458
40,979
40,980
40,981
40,982
40,1142
40,1143
40,1144
40,1145
40,1146
40,1147
40,1148
40,1149
40,1150
41,154
41,458
41,979
41,980
41,981
41,982
41,1142
41,1143
41,1144
41,1145
41,1146
41,1147
41,1148
41,1149
41,1150
41,1151
41,1152
41,1153
41,1154
41,1155
41,1156
41,1157
41,1158
41,1159
41,1160
41,1161
41,1162
41,1163
41,1164
41,1165
42,156
42,458
42,605
42,606
42,607
42,608
42,609
42,610
42,611
42,612
42,613
42,614
42,951
42,952
42,953
42,954
42,1107
42,1108
42,1109
42,1110
42,1111
42,1112
42,1113
42,1166
42,1167
42,1168
42,1169
42,1170
42,1171
42,1172
42,1173
43,154
43,458
43,979
43,980
43,981
43,982
43,1142
43,1143
43,1144
43,1145
43,1146
43,1147
43,1148
43,1149
43,1150
44,154
44,458
44,979
44,980
44,981
44,982
44,1142
44,1143
44,1144
44,1145
44,1146
44,1147
45,154
45,458
45,979
45,980
45,981
45,982
45,1142
45,1143
45,1144
45,1145
45,1146
45,1147
46,154
46,458
46,979
46,980
46,981
46,982
46,1142
46,1143
46,1144
46,1145
46,1146
46,1147
46,1148
46,1149
46,1150
46,1151
46,1152
46,1153
46,1154
46,1155
46,1156
46,1157
46,1158
46,1159
46,1160
46,1161
46,1162
46,1163
46,1164
46,1165
47,154
47,458
47,979
47,980
47,981
47,982
47,1142
47,1143
47,1144
47,1145
47,1146
47,1147
48,154
48,458
48,979
48,980
48,981
48,982
48,1142
48,1143
48,1144
48,1145
48,1146
48,1147
48,1148
48,1149
48,1150
49,154
49,458
49,979
49,980
49,981
49,982
49,1142
49,1143
49,1144
49,1145
49,1146
49,1147
49,1148
49,1149
49,1150
50,157
50,458
50,631
50,632
50,633
50,634
50,635
50,636
50,637
50,638
50,639
50,640
50,955
50,956
50,957
50,958
50,1086
50,1087
50,1088
50,1089
50,1090
50,1091
50,1092
50,1166
50,1167
50,1168
50,1169
50,1170
50,1171
50,1172
50,1173
51,154
51,458
51,979
51,980
51,981
51,982
51,1142
51,1143
51,1144
51,1145
51,1146
51,1147
52,154
52,458
52,979
52,980
52,981
52,982
52,1154
52,1155
52,1156
52,1157
52,1158
52,1159
52,1163
52,1164
52,1165
53,154
53,458
53,979
53,980
53,981
53,982
53,1142
53,1143
53,1144
53,1145
53,1146
53,1147
53,1148
53,1149
53,1150
53,1151
53,1152
53,1153
53,1154
53,1155
53,1156
53,1157
53,1158
53,1159
53,1160
53,1161
53,1162
53,1163
53,1164
53,1165
54,154
54,458
54,979
54,980
54,981
54,982
54,1154
54,1155
54,1156
54,1157
54,1158
54,1159
54,1163
54,1164
54,1165
55,154
55,458
55,979
55,980
55,981
55,982
55,1142
55,1143
55,1144
55,1145
55,1146
55,1147
55,1148
55,1149
55,1150
55,1151
55,1152
55,1153
55,1154
55,1155
55,1156
55,1157
55,1158
55,1159
55,1160
55,1161
55,1162
55,1163
55,1164
55,1165
56,154
56,458
56,979
56,980
56,981
56,982
56,1142
56,1143
56,1144
56,1145
56,1146
56,1147
56,1148
56,1149
56,1150
56,1151
56,1152
56,1153
56,1154
56,1155
56,1156
56,1157
56,1158
56,1159
56,1160
56,1161
56,1162
56,1163
56,1164
56,1165
57,154
57,458
57,979
57,980
57,981
57,982
57,1142
57,1143
57,1144
57,1145
57,1146
57,1147
58,154
58,458
58,979
58,980
58,981
58,982
58,1142
58,1143
58,1144
58,1145
58,1146
58,1147
59,158
59,458
59,657
59,658
59,659
59,660
59,661
59,662
59,663
59,664
59,665
59,959
59,960
59,961
59,962
59,1128
59,1129
59,1130
59,1131
59,1132
59,1133
59,1134
59,1166
59,1167
59,1168
59,1169
59,1170
59,1171
59,1172
59,1173
60,154
60,458
60,979
60,980
60,981
60,982
60,1142
60,1143
60,1144
60,1145
60,1146
60,1147
60,1148
60,1149
60,1150
61,155
61,458
61,579
61,580
61,581
61,582
61,583
61,584
61,585
61,586
61,587
61,588
61,947
61,948
61,949
61,950
61,1093
61,1094
61,1095
61,1096
61,1097
61,1098
61,1099
61,1166
61,1167
61,1168
61,1169
61,1170
61,1171
61,1172
61,1173
62,154
62,458
62,979
62,980
62,981
62,982
62,1142
62,1143
62,1144
62,1145
62,1146
62,1147
62,1148
62,1149
62,1150
62,1151
62,1152
62,1153
62,1154
62,1155
62,1156
62,1157
62,1158
62,1159
62,1160
62,1161
62,1162
62,1163
62,1164
62,1165
63,458
63,1070
63,1071
63,1072
63,1073
63,1074
63,1075
63,1076
63,1077
63,1078
64,458
64,1070
64,1071
64,1072
64,1073
64,1074
64,1075
64,1076
64,1077
64,1078
65,153
65,458
65,527
65,528
65,529
65,530
65,531
65,532
65,533
65,534
65,535
65,536
65,1064
65,1065
65,1066
65,1070
65,1071
65,1072
65,1073
65,1074
65,1075
65,1076
65,1077
65,1078
66,458
66,1070
66,1071
66,1072
66,1073
66,1074
66,1075
66,1076
66,1077
66,1078
67,160
67,458
67,735
67,736
67,737
67,738
67,739
67,740
67,741
67,742
67,743
67,967
67,968
67,969
67,970
67,1046
67,1047
67,1048
67,1070
67,1071
67,1072
67,1073
67,1074
67,1075
67,1076
67,1077
67,1078
68,458
68,1070
68,1071
68,1072
68,1073
68,1074
68,1075
68,1076
68,1077
68,1078
69,159
69,458
69,711
69,712
69,713
69,714
69,715
69,716
69,717
69,718
69,719
69,963
69,964
69,965
69,966
69,1058
69,1059
69,1060
69,1070
69,1071
69,1072
69,1073
69,1074
69,1075
69,1076
69,1077
69,1078
70,154
70,458
70,553
70,554
70,555
70,556
70,557
70,558
70,559
70,560
70,561
70,562
70,1061
70,1062
70,1063
70,1070
70,1071
70,1072
70,1073
70,1074
70,1075
70,1076
70,1077
70,1078
71,458
71,1070
71,1071
71,1072
71,1073
71,1074
71,1075
71,1076
71,1077
71,1078
72,458
72,1070
72,1071
72,1072
72,1073
72,1074
72,1075
72,1076
72,1077
72,1078
73,156
73,458
73,605
73,606
73,607
73,608
73,609
73,610
73,611
73,612
73,613
73,614
73,1052
73,1053
73,1054
73,1070
73,1071
73,1072
73,1073
73,1074
73,1075
73,1076
73,1077
73,1078
74,458
74,1070
74,1071
74,1072
74,1073
74,1074
74,1075
74,1076
74,1077
74,1078
