TestNo,MutantNo
1,2
2,1027
3,1025
3,1026
3,1028
3,1029
4,1028
4,1030
4,1033
4,1034
4,1035
4,1036
4,1037
4,1038
4,1039
4,1042
5,1027
6,1027
7,1027
8,1027
9,1027
10,1027
11,1027
12,1025
12,1027
13,458
13,980
13,1143
13,1149
14,980
14,1143
15,1156
15,1159
15,1165
16,980
16,1143
16,1149
17,980
17,1142
17,1143
17,1147
18,980
18,1143
18,1149
19,1156
19,1159
19,1165
20,458
20,980
20,1143
20,1149
21,153
21,528
21,532
21,533
21,534
21,535
21,536
21,939
21,941
21,1114
21,1116
21,1117
21,1118
21,1119
21,1120
21,1166
21,1170
21,1173
22,458
22,980
22,1143
22,1149
23,980
23,1143
23,1149
24,458
24,1074
25,1156
25,1159
25,1165
26,1156
26,1159
26,1165
27,980
27,1142
27,1149
28,160
28,735
28,739
28,740
28,741
28,742
28,743
28,967
28,969
28,1135
28,1137
28,1138
28,1139
28,1140
28,1141
28,1166
28,1173
29,1156
29,1159
29,1165
30,980
30,1142
30,1143
30,1144
30,1145
30,1146
30,1150
30,1153
30,1156
30,1157
30,1158
30,1159
30,1162
30,1165
31,980
31,1142
31,1143
31,1144
31,1145
31,1146
31,1150
31,1153
31,1156
31,1157
31,1158
31,1159
31,1162
31,1165
32,980
32,1143
32,1149
33,980
33,1142
33,1143
33,1144
33,1145
33,1146
33,1150
33,1153
33,1156
33,1157
33,1158
33,1159
33,1162
33,1165
34,458
34,980
34,1143
34,1149
35,458
35,980
35,1143
35,1149
36,159
36,711
36,715
36,716
36,717
36,718
36,719
36,963
36,965
36,1121
36,1123
36,1124
36,1125
36,1126
36,1127
36,1166
36,1170
36,1173
37,1156
37,1159
37,1165
38,154
38,554
38,558
38,559
38,560
38,561
38,562
38,943
38,945
38,1100
38,1102
38,1103
38,1104
38,1105
38,1106
38,1166
38,1170
38,1173
39,458
39,980
39,1143
39,1149
40,980
40,1143
40,1149
41,980
41,1142
41,1143
41,1144
41,1145
41,1146
41,1150
41,1153
41,1156
41,1157
41,1158
41,1159
41,1162
41,1165
42,156
42,606
42,610
42,611
42,612
42,613
42,614
42,951
42,953
42,1107
42,1109
42,1110
42,1111
42,1112
42,1113
42,1166
42,1170
42,1173
43,980
43,1143
43,1149
44,980
44,1143
45,980
45,1143
46,980
46,1142
46,1143
46,1144
46,1145
46,1146
46,1150
46,1153
46,1156
46,1157
46,1158
46,1159
46,1162
46,1165
47,980
47,1143
48,458
48,980
48,1143
48,1149
49,980
49,1143
49,1149
50,157
50,632
50,636
50,637
50,638
50,639
50,640
50,955
50,957
50,1086
50,1088
50,1089
50,1090
50,1091
50,1092
50,1166
50,1170
50,1173
51,980
51,1143
52,1156
52,1159
52,1165
53,980
53,1142
53,1143
53,1144
53,1145
53,1146
53,1150
53,1153
53,1156
53,1157
53,1158
53,1159
53,1162
53,1165
54,1156
54,1159
54,1165
55,980
55,1142
55,1143
55,1144
55,1145
55,1146
55,1150
55,1153
55,1156
55,1157
55,1158
55,1159
55,1162
55,1165
56,980
56,1142
56,1143
56,1144
56,1145
56,1146
56,1150
56,1152
56,1153
56,1156
56,1157
56,1158
56,1159
56,1160
56,1162
56,1165
57,980
57,1143
58,980
58,1143
59,158
59,657
59,661
59,662
59,663
59,664
59,665
59,959
59,961
59,1128
59,1130
59,1131
59,1132
59,1133
59,1134
59,1166
59,1170
59,1173
60,458
60,980
60,1143
60,1149
61,155
61,580
61,584
61,585
61,586
61,587
61,588
61,947
61,949
61,1093
61,1095
61,1096
61,1097
61,1098
61,1099
61,1166
61,1170
61,1173
62,980
62,1142
62,1143
62,1144
62,1145
62,1146
62,1150
62,1153
62,1156
62,1157
62,1158
62,1159
62,1162
62,1165
63,458
63,1070
63,1071
63,1074
63,1075
63,1078
64,458
64,1070
64,1071
64,1074
64,1075
64,1078
65,153
65,527
65,532
65,533
65,536
65,1065
65,1066
65,1071
65,1075
65,1078
66,458
66,1070
66,1071
66,1074
66,1075
66,1078
67,160
67,740
67,741
67,967
67,969
67,1047
67,1048
67,1071
67,1075
67,1078
68,458
68,1070
68,1071
68,1074
68,1075
68,1078
69,159
69,716
69,719
69,963
69,965
69,1059
69,1060
69,1071
69,1075
69,1078
70,154
70,553
70,558
70,559
70,562
70,1062
70,1063
70,1071
70,1075
70,1078
71,458
71,1070
71,1071
71,1074
71,1075
71,1078
72,458
72,1070
72,1071
72,1074
72,1075
72,1078
73,156
73,605
73,610
73,611
73,614
73,1053
73,1054
73,1071
73,1075
73,1078
74,1070
74,1071
74,1075
75,157
75,631
75,636
75,637
75,640
75,1050
75,1051
75,1071
75,1075
75,1078
76,458
76,1070
76,1071
76,1074
76,1075
76,1078
77,158
77,662
77,665
77,959
77,961
77,1056
77,1057
77,1071
77,1075
77,1078
78,458
78,1070
78,1071
78,1074
78,1075
78,1078
79,458
79,1070
79,1071
79,1074
79,1075
79,1078
80,155
80,579
80,584
80,585
80,588
80,1068
80,1069
80,1071
80,1075
80,1078
81,876
81,878
81,879
81,881
81,882
81,883
82,221
82,223
82,224
83,197
83,199
83,200
84,173
84,175
84,176
85,825
85,827
85,828
85,830
85,831
86,185
86,187
86,188
87,181
87,183
87,184
88,169
88,171
88,172
89,189
89,191
89,192
90,670
90,671
90,672
90,674
90,676
90,677
90,708
90,710
90,959
90,961
91,854
91,856
91,857
91,859
91,860
91,861
92,832
92,834
92,835
92,837
92,838
92,839
93,589
93,590
93,593
93,595
93,596
93,597
93,598
93,599
93,600
93,601
94,657
94,660
94,661
94,662
94,663
94,664
94,665
94,959
94,961
95,459
95,460
97,739
97,740
97,741
97,742
97,743
97,967
97,969
98,161
98,163
98,164
99,469
99,472
100,678
100,681
100,684
100,686
100,687
100,688
100,689
100,959
100,961
101,165
101,167
