CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
11978,1,47,226,530,530,226,134,91,1,24484,530
17006,2,14,339,380,380,565,260,304,1,24145,910
30360,3,28,531,747,747,1096,598,524,3,23614,1657
35196,4,15,123,368,368,1219,708,635,3,23491,2025
130530,5,69,2095,3111,3111,3314,2184,1504,3,21396,5136
131498,6,4,58,65,65,3372,2234,1504,11,21338,5201
141620,7,30,355,598,598,3727,2514,1606,11,20983,5799
142063,8,15,8,110,110,3735,2517,1611,11,20975,5909
157383,9,40,194,251,251,3929,2677,1632,24,20781,6160
157385,10,2,1,1,1,3930,2677,1633,24,20780,6161
163749,11,22,144,333,333,4074,2804,1725,34,20636,6494
168455,12,18,87,263,263,4161,2914,1798,40,20549,6757
171015,13,19,186,214,214,4347,3073,1831,40,20363,6971
206023,14,59,440,752,752,4787,3370,2043,58,19923,7723
244695,15,18,1980,2714,2714,6767,4645,2746,60,17943,10437
248545,16,20,121,238,238,6888,4724,2835,60,17822,10675
306371,17,762,0,181,181,6888,4743,2915,60,17822,10856
306493,18,2,33,52,52,6921,4785,2915,60,17789,10908
308344,19,20,178,312,312,7099,4872,3017,60,17611,11220
316392,20,31,187,336,336,7286,5003,3114,61,17424,11556
326669,21,43,158,209,209,7444,5102,3164,70,17266,11765
329665,22,12,133,221,221,7577,5200,3208,71,17133,11986
330170,23,25,21,42,42,7598,5207,3234,71,17112,12028
664063,24,264,529,831,831,8128,5528,3443,96,16582,12859
667800,25,32,122,168,168,8250,5645,3472,96,16460,13027
673015,26,30,74,188,188,8324,5705,3523,96,16386,13215
683783,27,24,238,344,344,8562,5830,3651,110,16148,13559
1233559,28,172,1736,2992,2992,10298,7027,4424,155,14412,16551
1238074,29,45,82,147,147,10380,7090,4479,159,14330,16698
1238624,30,4,27,115,115,10407,7114,4486,159,14303,16813
1246310,31,38,140,293,293,10547,7215,4601,160,14163,17106
1267579,32,30,616,932,932,11163,7666,4800,162,13547,18038
1278420,33,30,132,543,543,11295,7865,4861,163,13415,18581
1291287,34,29,127,576,576,11422,8075,5023,164,13288,19157
1297898,35,22,23,312,312,11445,8075,5094,166,13265,19469
1302599,36,19,221,363,363,11666,8265,5193,167,13044,19832
1313423,37,23,13,542,542,11679,8466,5257,168,13031,20374
1322623,38,22,5,540,540,11684,8661,5319,168,13026,20914
1322623,39,0,0,0,0,11684,8661,5319,168,13026,20914
1330191,40,19,45,407,407,11729,8702,5393,170,12981,21321
1330191,41,0,0,0,0,11729,8702,5393,170,12981,21321
1342077,42,23,6,540,540,11735,8904,5455,171,12975,21861
1351091,43,22,5,520,520,11740,9083,5519,171,12970,22381
1363247,44,18,18,567,567,11758,9299,5580,171,12952,22948
2108828,45,3708,0,226,226,11758,9299,5595,171,12952,23174
2110055,46,6,37,188,188,11795,9347,5595,171,12915,23362
2110124,47,4,7,8,8,11802,9353,5596,171,12908,23370
2110761,48,7,6,6,6,11808,9354,5598,174,12902,23376
2115206,49,6,48,48,48,11856,9368,5612,194,12854,23424
2120794,50,22,47,47,47,11903,9401,5625,195,12807,23471
2121105,51,2,5,12,12,11908,9408,5628,195,12802,23483
2128627,52,26,35,56,56,11943,9435,5654,195,12767,23539
2129578,53,3,6,23,23,11949,9444,5659,195,12761,23562
2129946,54,3,5,6,6,11954,9448,5659,196,12756,23568
2143621,55,23,35,81,81,11989,9448,5733,203,12721,23649
2270145,56,1188,70,79,79,12059,9489,5744,221,12651,23728
2273857,57,32,26,36,36,12086,9498,5764,222,12624,23764
2324973,58,24,41,261,261,12127,9510,5853,223,12583,24025
2347821,59,29,58,121,121,12185,9543,5890,225,12525,24146
2370689,60,26,18,121,121,12203,9576,5928,227,12507,24267
2383057,61,19,1,93,93,12204,9597,5955,228,12506,24360
2509365,62,54,172,443,443,12376,9678,6071,255,12334,24803
3869733,63,135,751,951,951,13127,10183,6279,293,11583,25754
3871813,64,1,78,92,92,13205,10229,6311,293,11505,25846
4093833,65,27,713,1020,1020,13918,10686,6580,303,10792,26866
4094663,66,3,30,31,31,13948,10716,6580,303,10762,26897
4095541,67,3,35,37,37,13983,10751,6580,303,10727,26934
4096509,68,4,32,36,36,14015,10781,6582,303,10695,26970
4097301,69,4,29,30,30,14044,10808,6584,303,10666,27000
4098197,70,3,33,38,38,14077,10844,6584,303,10633,27038
4099297,71,2,33,41,41,14110,10879,6584,303,10600,27079
4099630,72,2,12,15,15,14122,10889,6589,303,10588,27094
4100598,73,3,35,37,37,14157,10924,6589,303,10553,27131
4180285,74,26,76,421,421,14233,11011,6691,304,10477,27552
4378859,75,38,142,743,743,14375,11175,6840,360,10335,28295
4424219,76,14,66,366,366,14441,11192,6943,373,10269,28661
4723294,77,59,190,882,882,14631,11365,7175,384,10079,29543
4723471,78,4,7,7,7,14638,11368,7179,384,10072,29550
