MutantNo,[FAIL | TIME | EXC | LIVE]
2,FAIL
3,LIVE
4,LIVE
5,LIVE
6,FAIL
7,LIVE
8,FAIL
9,FAIL
10,FAIL
11,FAIL
13,FAIL
15,FAIL
17,FAIL
19,LIVE
21,LIVE
22,FAIL
23,LIVE
24,FAIL
25,FAIL
26,FAIL
27,LIVE
29,FAIL
30,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,LIVE
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
45,LIVE
47,LIVE
48,FAIL
49,LIVE
51,FAIL
52,FAIL
53,LIVE
54,LIVE
55,FAIL
56,LIVE
57,FAIL
58,LIVE
59,LIVE
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,LIVE
74,FAIL
75,FAIL
76,FAIL
77,LIVE
78,FAIL
79,LIVE
80,FAIL
81,LIVE
83,FAIL
84,FAIL
85,LIVE
87,FAIL
88,FAIL
89,FAIL
90,LIVE
91,FAIL
92,FAIL
93,FAIL
94,LIVE
95,FAIL
96,FAIL
97,FAIL
98,LIVE
99,FAIL
100,FAIL
101,FAIL
102,LIVE
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,FAIL
116,FAIL
117,FAIL
118,FAIL
119,FAIL
120,LIVE
121,FAIL
122,LIVE
123,LIVE
124,LIVE
125,LIVE
126,LIVE
127,FAIL
129,FAIL
130,FAIL
131,FAIL
132,LIVE
133,FAIL
134,FAIL
135,FAIL
136,LIVE
137,FAIL
138,FAIL
139,FAIL
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,FAIL
164,FAIL
165,FAIL
166,FAIL
167,FAIL
168,LIVE
169,FAIL
170,LIVE
171,FAIL
172,LIVE
173,FAIL
174,LIVE
176,FAIL
177,FAIL
178,FAIL
179,FAIL
180,FAIL
181,FAIL
182,FAIL
183,FAIL
184,FAIL
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,FAIL
191,FAIL
192,FAIL
193,FAIL
194,FAIL
195,FAIL
196,FAIL
197,FAIL
198,FAIL
199,FAIL
200,FAIL
201,FAIL
203,FAIL
204,FAIL
205,FAIL
206,FAIL
207,FAIL
208,FAIL
209,FAIL
210,LIVE
211,FAIL
212,FAIL
213,LIVE
214,FAIL
215,FAIL
216,LIVE
217,LIVE
