TestNo,MutantNo
3,11
3,18
3,20
3,23
3,24
3,26
3,29
3,31
3,33
3,35
3,53
3,302
3,304
3,305
3,306
3,307
3,308
3,309
3,310
3,311
3,313
3,315
3,316
3,317
3,318
3,319
3,320
3,321
3,375
3,377
6,375
6,377
8,375
8,377
9,375
9,377
10,375
10,377
11,375
11,377
13,375
13,377
14,375
14,377
15,375
15,377
16,375
16,377
17,375
17,377
18,375
18,377
19,1
19,2
19,4
19,5
19,6
19,7
19,8
19,9
19,11
19,15
19,17
19,18
19,20
19,21
19,22
19,23
19,24
19,26
19,27
19,28
19,29
19,31
19,32
19,33
19,34
19,35
19,36
19,37
19,38
19,40
19,43
19,51
19,52
19,53
19,54
19,55
19,57
19,60
19,62
19,63
19,66
19,68
19,71
19,72
19,73
19,74
19,75
19,76
19,77
19,78
19,80
19,83
19,85
19,92
19,93
19,94
19,95
19,96
19,97
19,98
19,99
19,100
19,101
19,102
19,104
19,107
19,109
19,110
19,113
19,115
19,118
19,120
19,121
19,122
19,123
19,125
19,126
19,375
19,377
19,378
19,380
19,385
20,375
20,377
21,375
21,377
22,375
22,377
23,375
23,377
23,378
23,380
23,387
24,375
24,377
25,375
25,377
26,375
26,377
27,375
27,377
28,375
28,377
29,375
29,377
29,378
29,380
29,387
30,11
30,18
30,20
30,23
30,24
30,26
30,29
30,31
30,33
30,35
30,53
30,375
30,377
31,375
31,377
31,378
31,379
32,375
32,377
33,375
33,377
34,375
34,377
35,375
35,377
36,11
36,18
36,20
36,23
36,24
36,26
36,29
36,31
36,33
36,35
36,51
36,53
36,54
36,72
36,75
36,92
36,93
36,94
36,95
36,96
36,97
36,100
36,109
36,112
36,122
36,123
36,125
36,126
36,130
36,131
36,134
36,135
36,136
36,137
36,138
36,139
36,140
36,142
36,143
36,146
36,147
36,151
36,152
36,153
36,156
36,157
36,163
36,166
36,167
36,168
36,169
36,170
36,171
36,172
36,173
36,174
36,175
36,182
36,183
36,184
36,185
36,186
36,187
36,189
36,190
36,191
36,199
36,200
36,201
36,202
36,203
36,204
36,206
36,207
36,208
36,375
36,377
37,375
37,377
38,375
38,377
39,375
39,377
40,375
40,377
41,375
41,377
42,375
42,377
43,375
43,377
44,375
44,377
44,387
45,375
45,377
46,375
46,377
47,375
47,377
48,375
48,377
48,378
48,387
49,375
49,377
50,11
50,18
50,20
50,23
50,24
50,26
50,29
50,31
50,33
50,35
50,53
50,375
50,377
51,375
51,377
52,375
52,377
53,375
53,377
54,375
54,377
55,375
55,377
56,375
56,377
57,375
57,377
58,375
58,377
59,1
59,2
59,4
59,11
59,18
59,20
59,23
59,24
59,26
59,29
59,31
59,33
59,35
59,53
59,67
59,130
59,131
59,134
59,135
59,136
59,137
59,138
59,139
59,140
59,141
59,142
59,143
59,146
59,147
59,148
59,150
59,152
59,154
59,156
59,157
59,166
59,167
59,168
59,169
59,170
59,171
59,172
59,174
59,176
59,177
59,178
59,179
59,180
59,181
59,182
59,183
59,184
59,185
59,186
59,187
59,188
59,189
59,190
59,191
59,192
59,193
59,194
59,196
59,197
59,198
59,199
59,200
59,201
59,202
59,203
59,204
59,206
59,207
59,208
59,375
59,377
60,375
60,377
61,375
61,377
62,375
62,377
63,375
63,377
64,11
64,18
64,20
64,23
64,24
64,26
64,29
64,31
64,33
64,35
64,53
64,375
64,377
65,11
65,18
65,20
65,23
65,24
65,26
65,29
65,31
65,33
65,35
65,53
65,375
65,377
66,375
66,377
67,375
67,377
68,375
68,377
69,11
69,18
69,20
69,23
69,24
69,26
69,29
69,31
69,33
69,35
69,53
69,375
69,377
70,375
70,377
71,375
71,377
72,375
72,377
73,375
73,377
74,11
74,18
74,20
74,23
74,24
74,26
74,29
74,31
74,33
74,35
74,53
74,375
74,377
75,375
75,377
76,375
76,377
77,375
77,377
78,375
78,377
79,375
79,377
80,1
80,2
80,4
80,11
80,18
80,20
80,23
80,24
80,26
80,29
80,31
80,33
80,35
80,53
80,67
80,130
80,131
80,134
80,135
80,136
80,137
80,138
80,139
80,140
80,141
80,142
80,143
80,146
80,147
80,148
80,150
80,152
80,154
80,156
80,157
80,166
80,167
80,168
80,169
80,170
80,171
80,172
80,174
80,176
80,177
80,178
80,179
80,180
80,181
80,182
80,183
80,184
80,185
80,186
80,187
80,188
80,189
80,190
80,191
80,192
80,193
80,194
80,196
80,197
80,198
80,199
80,200
80,201
80,202
80,203
80,204
80,206
80,207
80,208
80,375
80,377
81,1
81,2
81,4
81,11
81,18
81,20
81,23
81,24
81,26
81,29
81,31
81,33
81,35
81,53
81,67
81,130
81,131
81,134
81,135
81,136
81,137
81,138
81,139
81,140
81,141
81,142
81,143
81,146
81,147
81,148
81,150
81,152
81,154
81,156
81,157
81,166
81,167
81,168
81,169
81,170
81,171
81,172
81,174
81,176
81,177
81,178
81,179
81,180
81,181
81,182
81,183
81,184
81,185
81,186
81,187
81,188
81,189
81,190
81,191
81,192
81,193
81,194
81,196
81,197
81,198
81,199
81,200
81,201
81,202
81,203
81,204
81,206
81,207
81,208
81,375
81,377
82,375
82,377
83,375
83,377
84,375
84,377
85,375
85,377
86,1
86,2
86,4
86,11
86,15
86,18
86,20
86,23
86,24
86,26
86,27
86,28
86,29
86,31
86,32
86,33
86,35
86,51
86,53
86,54
86,62
86,63
86,66
86,67
86,68
86,69
86,72
86,75
86,92
86,93
86,95
86,96
86,97
86,100
86,109
86,110
86,112
86,113
86,127
86,129
86,130
86,131
86,133
86,134
86,135
86,136
86,137
86,138
86,139
86,140
86,141
86,142
86,143
86,146
86,147
86,148
86,149
86,150
86,152
86,154
86,155
86,156
86,157
86,159
86,161
86,165
86,166
86,167
86,168
86,169
86,170
86,171
86,172
86,173
86,174
86,175
86,176
86,177
86,178
86,179
86,180
86,181
86,182
86,183
86,184
86,185
86,186
86,187
86,188
86,189
86,190
86,191
86,192
86,193
86,194
86,195
86,196
86,197
86,198
86,199
86,200
86,201
86,202
86,203
86,204
86,205
86,206
86,207
86,208
86,209
86,212
86,213
86,214
86,215
86,216
86,218
86,219
86,220
86,221
86,222
86,223
86,224
86,225
86,226
86,227
86,228
86,229
86,230
86,231
86,232
86,233
86,234
86,235
86,236
86,237
86,238
86,239
86,240
86,241
86,242
86,243
86,244
86,245
86,246
86,247
86,248
86,249
86,250
86,251
86,252
86,253
86,254
86,255
86,256
86,257
86,258
86,259
86,260
86,261
86,262
86,265
86,266
86,267
86,268
86,269
86,270
86,271
86,272
86,273
86,274
86,275
86,276
86,277
86,278
86,279
86,280
86,281
86,285
86,286
86,288
86,290
86,291
86,292
86,293
86,294
86,295
86,296
86,297
86,298
86,299
86,300
86,322
86,323
86,326
86,328
86,329
86,330
86,331
86,332
86,333
86,334
86,335
86,337
86,338
86,339
86,340
86,341
86,342
86,343
86,344
86,345
86,346
86,347
86,348
86,349
86,350
86,352
86,353
86,356
86,357
86,358
86,359
86,361
86,362
86,363
86,364
86,366
86,367
86,368
86,369
86,370
86,371
86,372
86,373
86,374
86,375
86,377
86,378
86,380
86,385
86,390
87,375
87,377
88,375
88,377
89,375
89,377
90,375
90,377
91,375
91,377
92,375
92,377
92,387
93,375
93,377
94,375
94,377
95,375
95,377
96,375
96,377
96,380
97,1
97,2
97,4
97,11
97,18
97,20
97,23
97,24
97,26
97,29
97,31
97,33
97,35
97,53
97,67
97,130
97,131
97,134
97,135
97,136
97,137
97,138
97,139
97,140
97,141
97,142
97,143
97,146
97,147
97,148
97,150
97,152
97,154
97,156
97,157
97,166
97,167
97,168
97,169
97,170
97,171
97,172
97,174
97,176
97,177
97,178
97,179
97,180
97,181
97,182
97,183
97,184
97,185
97,186
97,187
97,188
97,189
97,190
97,191
97,192
97,193
97,194
97,196
97,197
97,198
97,199
97,200
97,201
97,202
97,203
97,204
97,206
97,207
97,208
97,375
97,377
97,378
97,380
98,375
98,377
99,375
99,377
99,387
100,375
100,377
101,375
101,377
102,375
102,377
103,375
103,377
104,375
104,377
105,375
105,377
106,375
106,377
107,375
107,377
107,380
108,375
108,377
109,1
109,2
109,4
109,11
109,18
109,20
109,23
109,24
109,26
109,29
109,31
109,33
109,35
109,53
109,67
109,130
109,131
109,134
109,135
109,136
109,137
109,138
109,139
109,140
109,141
109,142
109,143
109,146
109,147
109,148
109,150
109,152
109,154
109,156
109,157
109,166
109,167
109,168
109,169
109,170
