Mutant Number,Operator Class,Killed by,Description
1,LVR,"['20', '64', '85', '87', '98', '101', '109', '112', '116']","0:POS:org.joda.time.Partial@<init>:125:0 |==> 1
"
2,LVR,"['20', '64', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@<init>:125:0 |==> -1
"
3,LVR,[],"0:POS:org.joda.time.Partial@<init>:126:0 |==> 1
"
4,LVR,"['20', '64', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@<init>:126:0 |==> -1
"
5,ROR,['20'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@<init>:156:type == null |==> false
"
6,STD,['20'],"<CALL>:<NO-OP>:org.joda.time.Partial@<init>:161:chronology.validate(this, iValues) |==> <NO-OP>
"
7,ROR,['20'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@<init>:193:types == null |==> false
"
8,ROR,['20'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@<init>:196:values == null |==> false
"
9,ROR,['20'],"!=(int,int):<(int,int):org.joda.time.Partial@<init>:199:values.length != types.length |==> values.length < types.length
"
10,ROR,[],"!=(int,int):>(int,int):org.joda.time.Partial@<init>:199:values.length != types.length |==> values.length > types.length
"
11,ROR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","!=(int,int):TRUE(int,int):org.joda.time.Partial@<init>:199:values.length != types.length |==> true
"
12,LVR,[],"0:POS:org.joda.time.Partial@<init>:202:0 |==> 1
"
13,LVR,[],"0:NEG:org.joda.time.Partial@<init>:202:0 |==> -1
"
14,ROR,[],"==(int,int):<=(int,int):org.joda.time.Partial@<init>:202:types.length == 0 |==> types.length <= 0
"
15,ROR,"['20', '101']","==(int,int):>=(int,int):org.joda.time.Partial@<init>:202:types.length == 0 |==> types.length >= 0
"
16,ROR,[],"==(int,int):FALSE(int,int):org.joda.time.Partial@<init>:202:types.length == 0 |==> false
"
17,LVR,['20'],"0:POS:org.joda.time.Partial@<init>:207:0 |==> 1
"
18,LVR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@<init>:207:0 |==> -1
