TestNo,MutantNo
3,11
3,18
3,20
3,23
3,24
3,26
3,29
3,31
3,33
3,35
3,53
3,302
3,304
3,305
3,306
3,307
3,308
3,309
3,310
3,311
3,313
3,315
3,316
3,317
3,318
3,319
3,320
3,321
3,375
3,377
6,375
6,377
7,375
7,377
8,375
8,377
10,375
10,377
11,375
11,377
12,375
12,377
14,375
14,377
15,375
15,377
16,375
16,377
17,375
17,377
18,375
18,377
19,375
19,377
20,1
20,2
20,4
20,5
20,6
20,7
20,8
20,9
20,11
20,15
20,17
20,18
20,20
20,21
20,22
20,23
20,24
20,26
20,27
20,28
20,29
20,31
20,32
20,33
20,34
20,35
20,36
20,37
20,38
20,40
20,43
20,51
20,52
20,53
20,54
20,55
20,57
20,60
20,62
20,63
20,66
20,68
20,71
20,72
20,73
20,74
20,75
20,76
20,77
20,78
20,80
20,83
20,85
20,92
20,93
20,94
20,95
20,96
20,97
20,98
20,99
20,100
20,101
20,102
20,104
20,107
20,109
20,110
20,113
20,115
20,118
20,120
20,121
20,122
20,123
20,125
20,126
20,375
20,377
20,378
20,380
20,385
21,375
21,377
22,375
22,377
23,375
23,377
23,378
23,380
23,387
24,375
24,377
25,375
25,377
26,375
26,377
27,375
27,377
28,375
28,377
29,375
29,377
29,378
29,380
29,387
30,375
30,377
30,378
30,379
31,11
31,18
31,20
31,23
31,24
31,26
31,29
31,31
31,33
31,35
31,53
31,375
31,377
32,375
32,377
33,375
33,377
34,375
34,377
35,375
35,377
36,375
36,377
37,375
37,377
38,11
38,18
38,20
38,23
38,24
38,26
38,29
38,31
38,33
38,35
38,51
38,53
38,54
38,72
38,75
38,92
38,93
38,94
38,95
38,96
38,97
38,100
38,109
38,112
38,122
38,123
38,125
38,126
38,130
38,131
38,134
38,135
38,136
38,137
38,138
38,139
38,140
38,142
38,143
38,146
38,147
38,151
38,152
38,153
38,156
38,157
38,163
38,166
38,167
38,168
38,169
38,170
38,171
38,172
38,173
38,174
38,175
38,182
38,183
38,184
38,185
38,186
38,187
38,189
38,190
38,191
38,199
38,200
38,201
38,202
38,203
38,204
38,206
38,207
38,208
38,375
38,377
39,375
39,377
40,375
40,377
41,375
41,377
42,375
42,377
43,375
43,377
43,387
44,375
44,377
45,375
45,377
46,11
46,18
46,20
46,23
46,24
46,26
46,29
46,31
46,33
46,35
46,53
46,375
46,377
47,375
47,377
48,375
48,377
49,375
49,377
50,375
50,377
50,378
50,387
51,375
51,377
52,375
52,377
53,375
53,377
54,375
54,377
55,375
55,377
56,375
56,377
57,375
57,377
58,375
58,377
59,375
59,377
60,375
60,377
61,375
61,377
62,375
62,377
63,375
63,377
64,1
64,2
64,4
64,11
64,18
64,20
64,23
64,24
64,26
64,29
64,31
64,33
64,35
64,53
64,67
64,130
64,131
64,134
64,135
64,136
64,137
64,138
64,139
64,140
64,141
64,142
64,143
64,146
64,147
64,148
64,150
64,152
64,154
64,156
64,157
64,166
64,167
64,168
64,169
64,170
64,171
64,172
64,174
64,176
64,177
64,178
64,179
64,180
64,181
64,182
64,183
64,184
64,185
64,186
64,187
64,188
64,189
64,190
64,191
64,192
64,193
64,194
64,196
64,197
64,198
64,199
64,200
64,201
64,202
64,203
64,204
64,206
64,207
64,208
64,375
64,377
65,375
65,377
66,11
66,18
66,20
66,23
66,24
66,26
66,29
66,31
66,33
66,35
66,53
66,375
66,377
67,375
67,377
68,11
68,18
68,20
68,23
68,24
68,26
68,29
68,31
68,33
68,35
68,53
68,375
68,377
69,375
69,377
70,375
70,377
71,375
71,377
72,375
72,377
73,11
73,18
73,20
73,23
73,24
73,26
73,29
73,31
73,33
73,35
73,53
73,375
73,377
74,375
74,377
75,375
75,377
76,375
76,377
77,375
77,377
78,11
78,18
78,20
78,23
78,24
78,26
78,29
78,31
78,33
78,35
78,53
78,375
78,377
79,375
79,377
80,375
80,377
81,375
81,377
82,375
82,377
83,375
83,377
84,375
84,377
85,1
85,2
85,4
85,11
85,18
85,20
85,23
85,24
85,26
85,29
85,31
85,33
85,35
85,53
85,67
85,130
85,131
85,134
85,135
85,136
85,137
85,138
85,139
85,140
85,141
85,142
85,143
85,146
85,147
85,148
85,150
85,152
85,154
85,156
85,157
85,166
85,167
85,168
85,169
85,170
85,171
85,172
85,174
85,176
85,177
85,178
85,179
85,180
85,181
85,182
85,183
85,184
85,185
85,186
85,187
85,188
85,189
85,190
85,191
85,192
85,193
85,194
85,196
85,197
85,198
85,199
85,200
85,201
85,202
85,203
85,204
85,206
85,207
85,208
85,375
85,377
86,375
86,377
87,1
87,2
87,4
87,11
87,18
87,20
87,23
87,24
87,26
87,29
87,31
87,33
87,35
87,53
87,67
87,130
87,131
87,134
87,135
87,136
87,137
87,138
87,139
87,140
87,141
87,142
87,143
87,146
87,147
87,148
87,150
87,152
87,154
87,156
87,157
87,166
87,167
87,168
87,169
87,170
87,171
87,172
87,174
87,176
87,177
87,178
87,179
87,180
87,181
87,182
87,183
87,184
87,185
87,186
87,187
87,188
87,189
87,190
87,191
87,192
87,193
87,194
87,196
87,197
87,198
87,199
87,200
87,201
87,202
87,203
87,204
87,206
87,207
87,208
87,375
87,377
88,375
88,377
89,375
89,377
90,375
90,377
91,375
91,377
92,375
92,377
92,387
93,375
93,377
94,375
94,377
95,375
95,377
96,375
96,377
96,380
97,375
97,377
98,1
98,2
98,4
98,11
98,18
98,20
98,23
98,24
98,26
98,29
98,31
98,33
98,35
98,53
98,67
98,130
98,131
98,134
98,135
98,136
98,137
98,138
98,139
98,140
98,141
98,142
98,143
98,146
98,147
98,148
98,150
98,152
98,154
98,156
98,157
98,166
98,167
98,168
98,169
98,170
98,171
98,172
98,174
98,176
98,177
98,178
98,179
98,180
98,181
98,182
98,183
98,184
98,185
98,186
98,187
98,188
98,189
98,190
98,191
98,192
98,193
98,194
98,196
98,197
98,198
98,199
98,200
98,201
98,202
98,203
98,204
98,206
98,207
98,208
98,375
98,377
98,378
98,380
99,375
99,377
100,375
100,377
101,1
101,2
101,4
101,11
101,15
101,18
101,20
101,23
101,24
101,26
101,27
101,28
101,29
101,31
101,32
101,33
101,35
101,51
101,53
101,54
101,62
101,63
101,66
101,67
101,68
101,69
101,72
101,75
101,92
101,93
101,95
101,96
101,97
101,100
101,109
101,110
101,112
101,113
101,127
101,129
101,130
101,131
101,133
101,134
101,135
101,136
101,137
101,138
101,139
101,140
101,141
101,142
101,143
101,146
101,147
101,148
101,149
101,150
101,152
101,154
101,155
101,156
101,157
101,159
101,161
101,165
101,166
101,167
101,168
101,169
101,170
101,171
101,172
101,173
101,174
101,175
101,176
101,177
101,178
101,179
101,180
101,181
101,182
101,183
101,184
101,185
101,186
101,187
101,188
101,189
101,190
101,191
101,192
101,193
101,194
101,195
101,196
101,197
101,198
101,199
101,200
101,201
101,202
101,203
101,204
101,205
101,206
101,207
101,208
101,209
101,212
101,213
101,214
101,215
101,216
101,218
101,219
101,220
101,221
101,222
101,223
101,224
101,225
101,226
101,227
101,228
101,229
101,230
101,231
101,232
101,233
101,234
101,235
101,236
101,237
101,238
101,239
101,240
101,241
101,242
101,243
101,244
101,245
101,246
101,247
101,248
101,249
101,250
101,251
101,252
101,253
101,254
101,255
101,256
101,257
101,258
101,259
101,260
101,261
101,262
101,265
101,266
101,267
101,268
101,269
101,270
101,271
101,272
101,273
101,274
101,275
101,276
101,277
101,278
101,279
101,280
101,281
101,285
101,286
101,288
101,290
101,291
101,292
101,293
101,294
101,295
101,296
101,297
101,298
101,299
101,300
101,322
101,323
101,326
101,328
101,329
101,330
101,331
101,332
101,333
101,334
101,335
101,337
101,338
101,339
101,340
101,341
101,342
101,343
101,344
101,345
101,346
101,347
101,348
101,349
101,350
101,352
101,353
101,356
101,357
101,358
101,359
101,361
101,362
101,363
101,364
101,366
101,367
101,368
101,369
101,370
101,371
101,372
101,373
101,374
101,375
101,377
101,378
101,380
101,385
101,390
102,375
102,377
102,387
103,375
103,377
104,375
104,377
105,375
105,377
105,380
106,375
106,377
107,375
107,377
108,375
108,377
109,1
109,2
109,4
109,11
109,18
109,20
109,23
109,24
109,26
109,29
109,31
109,33
109,35
109,53
109,67
109,130
109,131
109,134
109,135
109,136
109,137
109,138
109,139
109,140
109,141
109,142
109,143
109,146
109,147
109,148
109,150
109,152
109,154
109,156
109,157
109,166
109,167
109,168
109,169
109,170
