TestNo,MutantNo
1,23
1,13810
2,24
2,25
2,27
2,28
2,30
3,22
3,23
4,676
4,678
4,680
4,682
4,684
4,686
4,688
4,690
4,692
4,694
4,696
4,698
4,700
4,702
4,704
4,706
4,708
4,710
4,712
4,2837
4,2838
4,2839
4,2840
4,2841
4,2842
4,2855
4,2856
4,2857
4,2858
4,2859
4,2860
4,2861
4,2862
4,2863
4,2864
4,2865
4,2866
4,2867
4,2868
5,676
5,678
5,680
5,682
5,684
5,686
5,688
5,690
5,692
5,694
5,696
5,698
5,700
5,702
5,704
5,706
5,708
5,710
5,712
5,2799
5,2800
5,2869
5,2870
6,676
6,678
6,679
6,680
6,682
6,684
6,686
6,688
6,690
6,692
6,694
6,696
6,698
6,700
6,702
6,704
6,706
6,708
6,710
6,712
6,737
6,2673
6,2674
6,2675
6,2676
6,2677
6,2678
6,2679
6,2680
6,2681
6,2682
6,2683
6,2684
6,2685
6,2686
6,2687
6,2688
6,2689
6,2691
6,2692
6,2693
6,2694
6,2695
6,2696
6,2697
6,2698
6,2699
6,2700
6,2701
6,2702
6,2703
6,2705
6,2706
6,2707
6,2708
6,2709
6,2710
6,2711
6,2712
6,2713
6,2714
6,2715
6,2716
6,2717
6,2719
6,2720
6,2721
6,2722
6,2723
6,2724
6,2725
6,2726
6,2727
6,2728
6,2729
6,2730
6,2731
6,2733
6,2734
6,2735
6,2736
6,2737
6,2738
6,2739
6,2740
6,2741
6,2742
6,2743
6,2744
6,2745
6,2747
6,2748
6,2749
6,2750
6,2751
6,2752
6,2753
6,2754
6,2755
6,2756
6,2757
6,2758
6,2759
6,2761
6,2762
6,2763
6,2764
6,2765
6,2766
6,2767
6,2768
6,2769
6,2770
6,2771
6,2772
6,2773
6,2775
6,2776
6,2777
6,2778
6,2779
6,2780
6,2781
6,2782
6,2783
6,2784
6,2785
6,2786
6,2787
6,2789
6,2790
6,2791
6,2792
6,2793
6,2794
6,2795
6,2796
6,2797
6,2798
7,676
7,678
7,680
7,682
7,684
7,686
7,688
7,690
7,692
7,694
7,696
7,698
7,700
7,702
7,704
7,706
7,708
7,710
7,712
7,2831
7,2832
7,2833
7,2834
7,2835
7,2836
7,2855
7,2856
7,2857
7,2858
7,2859
7,2860
7,2861
7,2862
7,2863
7,2864
7,2865
7,2866
7,2867
7,2868
8,676
8,678
8,680
8,682
8,684
8,686
8,688
8,690
8,692
8,694
8,696
8,698
8,700
8,702
8,704
8,706
8,708
8,710
8,712
8,2849
8,2850
8,2851
8,2852
8,2853
8,2854
8,2855
8,2856
8,2857
8,2858
8,2859
8,2860
8,2861
8,2862
8,2863
8,2864
8,2865
8,2866
8,2867
8,2868
9,676
9,678
9,680
9,682
9,684
9,686
9,688
9,690
9,692
9,694
9,696
9,698
9,700
9,702
9,704
9,706
9,708
9,710
9,712
9,2813
9,2814
9,2815
9,2816
9,2817
9,2818
9,2855
9,2856
9,2857
9,2858
9,2859
9,2860
9,2861
9,2862
9,2863
9,2864
9,2865
9,2866
9,2867
9,2868
10,676
10,678
10,680
10,682
10,684
10,686
10,688
10,690
10,692
10,694
10,696
10,698
10,700
10,702
10,704
10,706
10,708
10,710
10,712
10,2819
10,2820
10,2821
10,2822
10,2823
10,2824
10,2855
10,2856
10,2857
10,2858
10,2859
10,2860
10,2861
10,2862
10,2863
10,2864
10,2865
10,2866
10,2867
10,2868
11,676
11,678
11,680
11,682
11,684
11,686
11,688
11,690
11,692
11,694
11,696
11,698
11,700
11,702
11,704
11,706
11,708
11,710
11,712
11,2807
11,2808
11,2809
11,2810
11,2811
11,2812
11,2855
11,2856
11,2857
11,2858
11,2859
11,2860
11,2861
11,2862
11,2863
11,2864
11,2865
11,2866
11,2867
11,2868
12,676
12,678
12,680
12,682
12,684
12,686
12,688
12,690
12,692
12,694
12,696
12,698
12,700
12,702
12,704
12,706
12,708
12,710
12,712
12,2825
12,2826
12,2827
12,2828
12,2829
12,2830
12,2855
12,2856
12,2857
12,2858
12,2859
12,2860
12,2861
12,2862
12,2863
12,2864
12,2865
12,2866
12,2867
12,2868
13,676
13,678
13,680
13,682
13,684
13,686
13,688
13,690
13,692
13,694
13,696
13,698
13,700
13,702
13,704
13,706
13,708
13,710
13,712
13,2799
13,2801
13,2802
13,2803
13,2804
13,2805
13,2806
13,2855
13,2856
13,2857
13,2858
13,2859
13,2860
13,2861
13,2862
13,2863
13,2864
13,2865
13,2866
13,2867
13,2868
14,676
14,678
14,680
14,682
14,684
14,686
14,688
14,690
14,692
14,694
14,696
14,698
14,700
14,702
14,704
14,706
14,708
14,710
14,712
14,2604
14,2606
14,2610
14,3198
14,3201
14,3204
15,676
15,678
15,680
15,682
15,684
15,686
15,688
15,690
15,692
15,694
15,696
15,698
15,700
15,702
15,704
15,706
15,708
15,710
15,712
15,3196
15,3197
15,3222
15,3223
15,3225
15,3228
15,3229
15,3232
15,3233
15,3234
15,3235
15,3236
15,3237
15,3238
15,3240
15,3243
15,3275
15,3276
15,3277
15,3278
15,3279
15,3280
16,676
16,678
16,680
16,682
16,684
16,686
16,688
16,690
16,692
16,694
16,696
16,698
16,700
16,702
16,704
16,706
16,708
16,710
16,712
16,2604
16,2606
16,2610
16,3198
16,3201
16,3204
16,3212
16,3215
17,676
17,678
17,680
17,682
17,684
17,686
17,688
17,690
17,692
17,694
17,696
17,698
17,700
17,702
17,704
17,706
17,708
17,710
17,712
17,2606
17,2610
17,3198
17,3201
17,3203
17,3204
17,3207
17,3210
17,3216
18,676
18,678
18,680
18,682
18,684
18,686
18,688
18,690
18,692
18,694
18,696
18,698
18,700
18,702
18,704
18,706
18,708
18,710
18,712
18,2604
18,2606
18,2610
18,3198
18,3201
18,3204
18,3212
18,3215
19,676
19,678
19,680
19,682
19,684
19,686
19,688
19,690
19,692
19,694
19,696
19,698
19,700
19,702
19,704
19,706
19,708
19,710
19,712
19,3196
19,3197
19,3222
19,3223
19,3225
19,3228
19,3229
19,3232
19,3233
19,3234
19,3235
19,3236
19,3237
19,3238
19,3240
19,3243
19,3275
19,3276
19,3277
19,3278
19,3279
19,3280
20,676
20,678
20,680
20,682
20,684
20,686
20,688
20,690
20,692
20,694
20,696
20,698
20,700
20,702
20,704
20,706
20,708
20,710
20,712
20,1612
20,1613
20,2604
20,2606
20,2610
20,3197
20,3198
20,3201
20,3204
20,3212
20,3215
21,676
21,678
21,680
21,681
21,682
21,684
21,686
21,688
21,690
21,692
21,694
21,696
21,698
21,700
21,702
21,704
21,706
21,708
21,710
21,712
21,738
21,1808
21,1814
21,1815
21,1816
21,1817
21,1818
21,2503
21,2504
21,2507
21,2509
21,2511
21,2512
21,3108
21,3109
21,3110
21,3111
21,3112
21,3113
21,3114
21,3115
21,3117
21,3118
21,3120
21,3121
21,3122
21,3123
21,3124
21,3125
21,3126
21,3127
21,3281
21,3282
21,3283
21,3284
21,3286
21,3287
21,3288
21,3289
21,3290
21,3291
21,3293
21,3294
21,3295
21,3296
21,3297
21,3301
21,3302
21,3304
21,3305
21,3306
21,3307
21,3308
21,3312
21,3313
21,17749
22,676
22,678
22,680
22,682
22,684
22,686
22,688
22,690
22,692
22,694
22,696
22,698
22,700
22,702
22,704
22,706
22,708
22,710
22,712
22,2604
22,2606
22,2610
22,3198
22,3201
22,3204
22,3212
22,3215
23,676
23,678
23,680
23,682
23,684
23,686
23,688
23,690
23,692
23,694
23,696
23,698
23,700
23,702
23,704
23,706
23,708
23,710
23,712
23,1612
23,1613
23,2953
23,2956
24,676
24,678
24,680
24,682
24,684
24,686
24,688
24,690
24,692
24,694
24,696
24,698
24,700
24,702
24,704
24,706
24,708
24,710
24,712
24,3196
24,3197
24,3222
24,3223
24,3225
24,3228
24,3229
24,3232
24,3233
24,3234
24,3235
24,3236
24,3237
24,3238
24,3240
24,3243
24,3275
24,3276
24,3277
24,3278
24,3279
24,3280
25,676
25,678
25,680
25,682
25,684
25,686
25,688
25,690
25,692
25,694
25,696
25,698
25,700
25,702
25,704
25,706
25,708
25,710
25,712
25,3196
25,3197
25,3222
25,3223
25,3225
25,3228
25,3229
25,3232
25,3233
25,3234
25,3235
25,3236
25,3237
25,3238
25,3240
25,3243
25,3275
25,3276
25,3277
25,3278
25,3279
25,3280
26,676
26,678
26,680
26,682
26,684
26,686
26,688
26,690
26,692
26,694
26,696
26,698
26,700
26,702
26,704
26,706
26,708
26,710
26,712
26,2604
26,2606
26,2610
26,3198
26,3201
26,3204
27,676
27,678
27,680
27,682
27,684
27,686
27,688
27,690
27,692
27,694
27,696
27,698
27,700
27,702
27,704
27,706
27,708
27,710
27,712
27,2606
27,2610
27,3198
27,3203
27,3212
27,3215
28,676
28,678
28,680
28,682
28,684
28,686
28,688
28,690
28,692
28,694
28,696
28,698
28,700
28,702
28,704
28,705
28,706
28,708
28,710
28,712
28,745
28,2180
28,2183
28,2189
28,2190
28,2191
28,2192
28,2193
28,2573
28,2574
28,2577
28,2579
28,2581
28,2582
28,3174
28,3175
28,3177
28,3178
28,3179
28,3180
28,3181
28,3182
28,3183
28,3185
28,3186
28,3188
28,3189
28,3190
28,3191
28,3192
28,3193
28,3194
28,3195
28,3281
28,3282
28,3283
28,3284
28,3286
28,3287
28,3288
28,3289
28,3290
28,3291
28,3293
28,3294
28,3295
28,3296
28,3304
28,3305
28,3306
28,3307
28,3308
28,3312
28,3313
28,17749
29,676
29,678
29,680
29,682
29,684
29,686
29,688
29,690
29,692
29,694
29,696
29,698
29,700
29,702
29,704
29,706
29,708
29,710
29,712
29,3196
29,3197
29,3222
29,3223
29,3225
29,3228
29,3229
29,3232
29,3233
29,3234
29,3235
29,3236
29,3237
29,3238
29,3240
29,3243
29,3275
29,3276
29,3277
29,3278
29,3279
29,3280
30,676
30,678
30,680
30,682
30,684
30,686
30,688
30,690
30,692
30,694
30,696
30,698
30,700
30,702
30,704
30,706
30,708
30,710
30,712
30,2604
30,2606
30,2610
30,3196
30,3197
30,3198
30,3201
30,3202
30,3203
30,3204
30,3205
30,3206
30,3208
30,3209
30,3213
30,3217
30,3220
30,3221
30,3222
30,3223
30,3224
30,3225
30,3228
30,3229
30,3230
30,3231
30,3232
30,3233
30,3234
30,3235
30,3236
30,3237
30,3238
30,3239
30,3240
30,3241
30,3242
30,3243
30,3244
30,3245
30,3247
30,3252
30,3253
30,3254
30,3255
30,3256
30,3257
30,3258
30,3259
30,3260
30,3261
30,3262
30,3263
30,3264
30,3265
30,3266
30,3267
30,3268
30,3269
30,3270
30,3271
30,3275
30,3276
30,3277
30,3278
30,3279
30,3280
31,676
31,678
31,680
31,682
31,684
31,686
31,688
31,690
31,692
31,694
31,696
31,698
31,700
31,702
31,704
31,706
31,708
31,709
31,710
31,712
31,2604
31,2606
31,2610
31,3196
31,3197
31,3198
31,3201
31,3202
31,3203
31,3204
31,3205
31,3206
31,3208
31,3209
31,3213
31,3217
31,3220
31,3221
31,3222
31,3223
31,3224
31,3225
31,3228
31,3229
31,3230
31,3231
31,3232
31,3233
31,3234
31,3235
31,3236
31,3237
31,3238
31,3239
31,3240
31,3241
31,3242
31,3243
31,3244
31,3245
31,3247
31,3252
31,3253
31,3254
31,3255
31,3256
31,3257
31,3258
31,3259
31,3260
31,3261
31,3262
31,3263
31,3264
31,3265
31,3266
31,3267
31,3268
31,3269
31,3270
31,3271
31,3275
31,3276
31,3277
31,3278
31,3279
31,3280
32,676
32,678
32,680
32,682
32,684
32,686
32,688
32,690
32,692
32,694
32,696
32,698
32,700
32,702
32,704
32,706
32,708
32,710
32,712
32,2604
32,2606
32,2610
32,3198
32,3201
32,3204
32,3212
32,3215
33,676
33,678
33,680
33,682
33,684
33,686
33,688
33,689
33,690
33,692
33,694
33,696
33,698
33,700
33,702
33,704
33,706
33,708
33,710
33,712
33,2604
33,2606
33,2610
33,3196
33,3197
33,3198
33,3201
33,3202
33,3203
33,3204
33,3205
33,3206
33,3208
33,3209
33,3213
33,3217
33,3220
33,3221
33,3222
33,3223
33,3224
33,3225
33,3228
33,3229
33,3230
33,3231
33,3232
33,3233
33,3234
33,3235
33,3236
33,3237
33,3238
33,3239
33,3240
33,3241
33,3242
33,3243
33,3244
33,3245
33,3247
33,3252
33,3253
33,3254
33,3255
33,3256
33,3257
33,3258
33,3259
33,3260
33,3261
33,3262
33,3263
33,3264
33,3265
33,3266
33,3267
33,3268
33,3269
33,3270
33,3271
33,3275
33,3276
33,3277
33,3278
33,3279
33,3280
34,676
34,678
34,680
34,682
34,684
34,686
34,688
34,690
34,692
34,694
34,696
34,698
34,700
34,702
34,704
34,706
34,708
34,710
34,712
34,1612
34,1613
34,2604
34,2606
34,2610
34,3198
34,3201
34,3204
34,3212
34,3215
35,676
35,678
35,680
35,682
35,684
35,686
35,688
35,690
35,692
35,694
35,696
35,698
35,700
35,702
35,704
35,706
35,708
35,710
35,712
35,1612
35,1613
35,2604
35,2606
35,2610
35,3198
35,3201
35,3204
35,3212
35,3215
36,676
36,678
36,680
36,682
36,684
36,686
36,688
36,690
36,692
36,694
36,696
36,698
36,700
36,701
36,702
36,704
36,706
36,708
36,710
36,712
36,744
36,2136
36,2139
36,2145
36,2146
36,2147
36,2148
36,2149
36,2563
36,2564
36,2567
36,2569
36,2571
36,2572
36,3130
36,3131
36,3132
36,3133
36,3134
36,3135
36,3136
36,3137
36,3139
36,3140
36,3142
36,3143
36,3144
36,3145
36,3146
36,3147
36,3148
36,3149
36,3281
36,3282
36,3283
36,3284
36,3286
36,3287
36,3288
36,3289
36,3290
36,3291
36,3293
36,3294
36,3295
36,3296
36,3297
36,3298
36,3301
36,3302
36,3304
36,3305
36,3306
36,3307
36,3308
36,3312
36,3313
36,17749
37,676
37,678
37,680
37,682
37,684
37,686
37,688
37,690
37,692
37,694
37,696
37,698
37,700
37,702
37,704
37,706
37,708
37,710
37,712
37,3196
37,3197
37,3222
37,3223
37,3225
37,3228
37,3229
37,3232
37,3233
37,3234
37,3235
37,3236
37,3237
37,3238
37,3240
37,3243
37,3275
37,3276
37,3277
37,3278
37,3279
37,3280
38,676
38,678
38,680
38,682
38,684
38,685
38,686
38,688
38,690
38,692
38,694
38,696
38,698
38,700
38,702
38,704
38,706
38,708
38,710
38,712
38,739
38,1850
38,1856
38,1857
38,1858
38,1859
38,1860
38,2513
38,2514
38,2517
38,2519
38,2521
38,2522
38,3064
38,3065
38,3066
38,3067
38,3068
38,3069
38,3070
38,3071
38,3073
38,3074
38,3076
38,3077
38,3078
38,3079
38,3080
38,3081
38,3082
38,3083
38,3281
38,3282
38,3283
38,3284
38,3286
38,3287
38,3288
38,3289
38,3290
38,3291
38,3293
38,3294
38,3295
38,3296
38,3297
38,3301
38,3302
38,3304
38,3305
38,3306
38,3307
38,3308
38,3312
38,3313
38,17749
39,676
39,678
39,680
39,682
39,684
39,686
39,688
39,690
39,692
39,694
39,696
39,698
39,700
39,702
39,704
39,706
39,708
39,710
39,712
39,1612
39,1613
39,2604
39,2606
39,2610
39,3198
39,3201
39,3204
39,3212
39,3215
40,676
40,678
40,680
40,682
40,684
40,686
40,688
40,690
40,692
40,694
40,696
40,698
40,700
40,702
40,704
40,706
40,708
40,710
40,712
40,2604
40,2606
40,2610
40,3198
40,3201
40,3204
40,3212
40,3215
41,676
41,678
41,680
41,682
41,684
41,686
41,688
41,690
41,692
41,694
41,696
41,698
41,700
41,702
41,704
41,706
41,708
41,710
41,712
41,2604
41,2606
41,2610
41,3198
41,3201
41,3204
41,3212
41,3215
42,676
42,678
42,680
42,682
42,684
42,686
42,688
42,690
42,692
42,693
42,694
42,696
42,698
42,700
42,702
42,704
42,706
42,708
42,710
42,712
42,2604
42,2606
42,2610
42,3196
42,3197
42,3198
42,3201
42,3202
42,3203
42,3204
42,3205
42,3206
42,3208
42,3209
42,3213
42,3217
42,3220
42,3221
42,3222
42,3223
42,3224
42,3225
42,3228
42,3229
42,3230
42,3231
42,3232
42,3233
42,3234
42,3235
42,3236
42,3237
42,3238
42,3239
42,3240
42,3241
42,3242
42,3243
42,3244
42,3245
42,3247
42,3252
42,3253
42,3254
42,3255
42,3256
42,3257
42,3258
42,3259
42,3260
42,3261
42,3262
42,3263
42,3264
42,3265
42,3266
42,3267
42,3268
42,3269
42,3270
42,3271
42,3275
42,3276
42,3277
42,3278
42,3279
42,3280
43,676
43,678
43,680
43,682
43,684
43,686
43,688
43,690
43,692
43,694
43,696
43,698
43,700
43,702
43,704
43,706
43,708
43,709
43,710
43,712
43,741
43,1934
43,1940
43,1941
43,1942
43,1943
43,1944
43,2533
43,2534
43,2537
43,2539
43,2541
43,2542
43,3086
43,3087
43,3088
43,3089
43,3090
43,3091
43,3092
43,3093
43,3095
43,3096
43,3098
43,3099
43,3100
43,3101
43,3102
43,3103
43,3104
43,3105
43,3281
43,3282
43,3283
43,3284
43,3286
43,3287
43,3288
43,3289
43,3290
43,3291
43,3293
43,3294
43,3295
43,3296
43,3297
43,3301
43,3302
43,3304
43,3305
43,3306
43,3307
43,3308
43,3312
43,3313
43,17749
44,676
44,678
44,680
44,682
44,684
44,686
44,688
44,690
44,692
44,694
44,696
44,698
44,700
44,702
44,704
44,706
44,708
44,710
44,712
44,2604
44,2606
44,2610
44,3198
44,3201
44,3204
44,3212
44,3215
45,676
45,678
45,680
45,682
45,684
45,686
45,688
45,690
45,692
45,694
45,696
45,698
45,700
45,702
45,704
45,706
45,708
45,710
45,712
45,2604
45,2606
45,2610
45,3198
45,3201
45,3204
46,676
46,678
46,680
46,682
46,684
46,686
46,688
46,690
46,692
46,694
46,696
46,698
46,700
46,702
46,704
46,706
46,708
46,710
46,712
46,2604
46,2606
46,2610
46,3198
46,3201
46,3204
47,676
47,678
47,680
47,682
47,684
47,685
47,686
47,688
47,690
47,692
47,694
