TestNo,MutantNo
2,37
2,47
2,67
2,78
2,89
2,91
3,25
3,28
3,38
3,85
3,88
3,91
4,25
4,27
4,48
4,74
4,77
4,89
4,91
5,25
5,37
5,47
5,93
5,94
5,95
5,108
5,113
5,118
5,131
5,135
5,148
5,150
6,25
6,26
6,27
6,48
6,93
6,94
6,95
6,102
6,114
6,125
6,130
6,135
6,148
6,150
7,25
7,26
7,28
7,38
7,93
7,94
7,96
7,102
7,114
7,119
7,131
7,142
7,147
7,150
8,5
8,10
8,14
8,19
8,23
8,26
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,47
8,57
8,60
8,93
8,94
8,95
8,99
8,100
8,103
8,104
8,106
8,107
8,110
8,112
8,115
9,5
9,10
9,14
9,19
9,23
9,25
9,28
9,38
9,49
9,50
9,51
9,52
9,53
9,54
9,55
9,56
9,60
9,93
9,94
9,96
9,133
9,134
9,137
9,138
9,140
9,141
9,144
9,146
9,149
10,5
10,10
10,14
10,19
10,23
10,39
10,40
10,41
10,42
10,43
10,44
10,45
10,46
10,48
10,60
10,93
10,94
10,95
10,116
10,117
10,120
10,121
10,123
10,124
10,127
10,129
10,132
11,20
11,24
12,24
13,16
13,17
13,21
13,24
14,5
14,10
14,14
14,19
14,23
14,25
14,26
14,27
14,37
14,47
14,57
14,58
14,61
14,62
14,64
14,65
14,68
14,69
14,71
14,72
14,75
14,79
14,82
14,83
14,86
14,90
14,92
16,37
16,47
16,67
16,78
16,89
16,91
17,25
17,28
17,38
17,85
17,88
17,91
18,25
18,27
18,48
18,74
18,77
18,89
18,91
19,25
19,37
19,47
19,93
19,94
19,95
19,108
19,113
19,118
19,131
19,135
19,148
19,150
20,25
20,26
20,27
20,48
20,93
20,94
20,95
20,102
20,114
20,125
20,130
20,135
20,148
20,150
21,25
21,26
21,28
21,38
21,93
21,94
21,96
21,102
21,114
21,119
21,131
21,142
21,147
21,150
22,5
22,10
22,14
22,19
22,23
22,25
22,26
22,27
22,37
22,47
22,57
22,58
22,61
22,62
22,64
22,65
22,68
22,69
22,71
22,72
22,75
22,79
22,82
22,83
22,86
22,90
22,92
23,37
23,47
23,63
23,66
23,78
23,89
23,91
24,25
24,28
24,38
24,81
24,84
24,88
24,91
25,25
25,27
25,48
25,70
25,73
25,77
25,89
25,91
26,5
26,10
26,14
26,19
26,23
26,25
26,26
26,28
26,38
26,47
26,57
26,58
26,61
26,62
26,64
26,65
26,68
26,69
26,71
26,72
26,75
26,79
26,80
26,82
26,83
26,86
26,90
26,92
27,5
27,10
27,14
27,19
27,23
27,26
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,47
27,57
27,60
27,93
27,94
27,95
27,99
27,100
27,103
27,104
27,106
27,107
27,110
27,112
