CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
2,1,1,0,0,0,0,0,0,0,150,0
392,2,1,6,55,55,6,6,0,0,144,55
754,3,1,5,69,69,11,12,0,0,139,124
1053,4,1,4,62,62,15,19,0,0,135,186
1460,5,1,10,86,86,25,32,0,0,125,272
1866,6,1,5,86,86,30,46,0,0,120,358
2293,7,1,4,86,86,34,60,0,0,116,444
2603,8,1,24,68,68,58,89,0,0,92,512
2972,9,1,17,86,86,75,118,0,0,75,598
3322,10,1,17,77,77,92,145,0,0,58,675
3421,11,1,2,14,14,94,147,0,0,56,689
3523,12,1,0,19,19,94,148,0,0,56,708
3636,13,1,3,24,24,97,152,0,0,53,732
3948,14,1,16,69,69,113,179,0,0,37,801
3951,15,1,0,0,0,113,179,0,0,37,801
4216,16,1,0,55,55,113,185,0,0,37,856
4577,17,1,0,69,69,113,191,0,0,37,925
4845,18,1,0,62,62,113,198,0,0,37,987
5222,19,1,0,86,86,113,211,0,0,37,1073
5608,20,1,0,86,86,113,225,0,0,37,1159
6029,21,1,0,86,86,113,239,0,0,37,1245
6340,22,1,0,69,69,113,266,0,0,37,1314
6590,23,1,2,55,55,115,273,0,0,35,1369
6964,24,1,2,69,69,117,280,0,0,33,1438
7327,25,1,2,62,62,119,288,0,0,31,1500
7671,26,1,1,69,69,120,316,0,0,30,1569
8042,27,1,0,68,68,120,345,0,0,30,1637
8419,28,1,0,86,86,120,374,0,0,30,1723
8807,29,1,0,77,77,120,401,0,0,30,1800
9180,30,1,1,86,86,121,415,0,0,29,1886
9563,31,1,1,86,86,122,429,0,0,28,1972
9969,32,1,2,86,86,124,444,0,0,26,2058
10316,33,1,2,86,86,126,459,0,0,24,2144
10692,34,1,0,86,86,126,488,0,0,24,2230
10792,35,1,4,14,14,130,493,0,0,20,2244
10925,36,1,0,24,24,130,497,0,0,20,2268
11037,37,1,3,19,19,133,502,0,0,17,2287
11121,38,1,0,14,14,133,504,0,0,17,2301
11222,39,1,0,19,19,133,505,0,0,17,2320
11381,40,1,0,24,24,133,509,0,0,17,2344
11462,41,1,0,14,14,133,510,0,0,17,2358
11546,42,1,1,14,14,134,514,0,0,16,2372
11657,43,1,1,19,19,135,518,0,0,15,2391
11784,44,1,1,24,24,136,521,0,0,14,2415
11865,45,1,0,14,14,136,522,0,0,14,2429
11869,46,1,0,0,0,136,522,0,0,14,2429
12085,47,1,0,55,55,136,528,0,0,14,2484
12413,48,1,0,86,86,136,541,0,0,14,2570
12668,49,1,0,68,68,136,570,0,0,14,2638
13012,50,1,0,86,86,136,599,0,0,14,2724
13301,51,1,0,77,77,136,626,0,0,14,2801
13580,52,1,0,69,69,136,653,0,0,14,2870
13660,53,1,0,14,14,136,655,0,0,14,2884
13915,54,2,5,66,66,141,676,0,0,9,2950
14239,55,3,0,66,66,141,697,0,0,9,3016
14511,56,3,0,66,66,141,718,0,0,9,3082
14815,57,16,0,66,66,141,739,0,0,9,3148
