TestNo,TestName
1,triangle.ConditionCoverageTest[bogusTest]
2,triangle.ConditionCoverageTest[testInvalidImpossible1]
3,triangle.ConditionCoverageTest[testInvalidImpossible2]
4,triangle.ConditionCoverageTest[testInvalidImpossible3]
5,triangle.ConditionCoverageTest[testInvalidImpossible4]
6,triangle.ConditionCoverageTest[testInvalidImpossible5]
7,triangle.ConditionCoverageTest[testInvalidImpossible6]
8,triangle.ConditionCoverageTest[testIsosceles1]
9,triangle.ConditionCoverageTest[testIsosceles2]
10,triangle.ConditionCoverageTest[testIsosceles3]
11,triangle.ConditionCoverageTest[testInvalidZeros1]
12,triangle.ConditionCoverageTest[testInvalidZeros2]
13,triangle.ConditionCoverageTest[testInvalidZeros3]
14,triangle.ConditionCoverageTest[testScalene]
15,triangle.MutationAdequateTest[bogusTest]
16,triangle.MutationAdequateTest[testInvalidImpossible1]
17,triangle.MutationAdequateTest[testInvalidImpossible2]
18,triangle.MutationAdequateTest[testInvalidImpossible3]
19,triangle.MutationAdequateTest[testInvalidImpossible4]
20,triangle.MutationAdequateTest[testInvalidImpossible5]
21,triangle.MutationAdequateTest[testInvalidImpossible6]
22,triangle.MutationAdequateTest[testScalene0]
23,triangle.MutationAdequateTest[testScalene1]
24,triangle.MutationAdequateTest[testScalene2]
25,triangle.MutationAdequateTest[testScalene3]
26,triangle.MutationAdequateTest[testScalene4]
27,triangle.MutationAdequateTest[testIsosceles1]
28,triangle.MutationAdequateTest[testIsosceles2]
29,triangle.MutationAdequateTest[testIsosceles3]
30,triangle.MutationAdequateTest[testIsosceles4]
31,triangle.MutationAdequateTest[testIsosceles5]
32,triangle.MutationAdequateTest[testIsosceles6]
33,triangle.MutationAdequateTest[testIsosceles7]
34,triangle.MutationAdequateTest[testIsosceles8]
35,triangle.MutationAdequateTest[testInvalidZeros0]
36,triangle.MutationAdequateTest[testInvalidZeros1]
37,triangle.MutationAdequateTest[testInvalidZeros2]
38,triangle.MutationAdequateTest[testInvalidZeros3]
39,triangle.MutationAdequateTest[testInvalidZeros4]
40,triangle.MutationAdequateTest[testInvalidZeros5]
41,triangle.MutationAdequateTest[testInvalidZeros6]
42,triangle.MutationAdequateTest[testInvalidNegative0]
43,triangle.MutationAdequateTest[testInvalidNegative1]
44,triangle.MutationAdequateTest[testInvalidNegative2]
45,triangle.MutationAdequateTest[testInvalidNegative3]
46,triangle.StatementCoverageTest[bogusTest]
47,triangle.StatementCoverageTest[testInvalidImpossible1]
48,triangle.StatementCoverageTest[testInvalidImpossible2]
49,triangle.StatementCoverageTest[testIsosceles1]
50,triangle.StatementCoverageTest[testIsosceles2]
51,triangle.StatementCoverageTest[testIsosceles3]
52,triangle.StatementCoverageTest[testScalene]
53,triangle.StatementCoverageTest[testInvalidZeros]
54,triangle.TriangleTest[test1]
55,triangle.MutationAdequateTest[testEquilateral]
56,triangle.StatementCoverageTest[testEquilateral]
57,triangle.ConditionCoverageTest[testEquilateral]
