Mutant Number,Operator Class,Killed by,Description
1,STD,[],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:53:private static final long serialVersionUID = 1L |==> <NO-OP>
"
2,LVR,['1'],"TRUE:FALSE:org.apache.commons.lang3.AnnotationUtils$1:56:true |==> false
"
3,STD,[],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:56:setDefaultFullDetail(true) |==> <NO-OP>
"
4,LVR,[],"TRUE:FALSE:org.apache.commons.lang3.AnnotationUtils$1:57:true |==> false
"
5,STD,[],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:57:setArrayContentDetail(true) |==> <NO-OP>
"
6,LVR,['1'],"TRUE:FALSE:org.apache.commons.lang3.AnnotationUtils$1:58:true |==> false
"
7,STD,[],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:58:setUseClassName(true) |==> <NO-OP>
"
8,LVR,['1'],"TRUE:FALSE:org.apache.commons.lang3.AnnotationUtils$1:59:true |==> false
"
9,STD,['1'],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:59:setUseShortClassName(true) |==> <NO-OP>
"
10,LVR,['1'],"FALSE:TRUE:org.apache.commons.lang3.AnnotationUtils$1:60:false |==> true
"
11,STD,['1'],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:60:setUseIdentityHashCode(false) |==> <NO-OP>
"
12,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils$1:61:""("" |==> null
"
13,STD,['1'],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:61:setContentStart(""("") |==> <NO-OP>
"
14,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils$1:62:"")"" |==> null
"
15,STD,['1'],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:62:setContentEnd("")"") |==> <NO-OP>
"
16,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils$1:63:"", "" |==> null
"
17,STD,['1'],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:63:setFieldSeparator("", "") |==> <NO-OP>
"
18,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils$1:64:""["" |==> null
"
19,STD,[],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:64:setArrayStart(""["") |==> <NO-OP>
"
20,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils$1:65:""]"" |==> null
"
21,STD,[],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1:65:setArrayEnd(""]"") |==> <NO-OP>
"
22,COR,['1'],"Annotation.class.isAssignableFrom(iface):TRUE:org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:75:Annotation.class.isAssignableFrom(iface) |==> false
"
23,COR,[],"Annotation.class.isAssignableFrom(iface):FALSE:org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:75:Annotation.class.isAssignableFrom(iface) |==> true
"
24,STD,['1'],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:76:@SuppressWarnings(value = ""unchecked"")...) |==> <NO-OP>
"
25,STD,['1'],"<ASSIGN>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:79:annotationType = found |==> <NO-OP>
"
26,STD,['1'],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:80:break; |==> <NO-OP>
"
27,ROR,[],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:83:annotationType == null |==> false
"
28,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:83:"""" |==> null
"
29,LVR,['1'],"0:POS:org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:84:0 |==> 1
"
30,LVR,['1'],"0:NEG:org.apache.commons.lang3.AnnotationUtils$1@getShortClassName:84:0 |==> -1
"
31,STD,[],"<ASSIGN>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1@appendDetail:93:value = AnnotationUtils.toString((Annotation)value) |==> <NO-OP>
"
32,STD,['1'],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils$1@appendDetail:95:super.appendDetail(buffer, fieldName, value) |==> <NO-OP>
"
33,ROR,['1'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.apache.commons.lang3.AnnotationUtils@equals:123:a1 == a2 |==> false
"
34,LVR,['1'],"TRUE:FALSE:org.apache.commons.lang3.AnnotationUtils@equals:124:true |==> false
"
35,ROR,['1'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.apache.commons.lang3.AnnotationUtils@equals:126:a1 == null |==> false
"
36,ROR,['1'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.apache.commons.lang3.AnnotationUtils@equals:126:a2 == null |==> false
"
37,COR,[],"||(boolean,boolean):!=(boolean,boolean):org.apache.commons.lang3.AnnotationUtils@equals:126:a1 == null || a2 == null |==> a1 == null != (a2 == null)
"
38,COR,['1'],"||(boolean,boolean):LHS(boolean,boolean):org.apache.commons.lang3.AnnotationUtils@equals:126:a1 == null || a2 == null |==> a1 == null
"
39,COR,['1'],"||(boolean,boolean):RHS(boolean,boolean):org.apache.commons.lang3.AnnotationUtils@equals:126:a1 == null || a2 == null |==> a2 == null
"
40,COR,['1'],"||(boolean,boolean):TRUE(boolean,boolean):org.apache.commons.lang3.AnnotationUtils@equals:126:a1 == null || a2 == null |==> true
"
41,LVR,['1'],"FALSE:TRUE:org.apache.commons.lang3.AnnotationUtils@equals:127:false |==> true
"
42,STD,['1'],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@equals:129:final Class<? extends Annotation> type = a1.annotationType() |==> <NO-OP>
"
43,STD,['1'],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@equals:130:final Class<? extends Annotation> type2 = a2.annotationType() |==> <NO-OP>
"
44,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils@equals:131:""Annotation %s with null annotationType()"" |==> null
"
45,STD,[],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@equals:131:Validate.notNull(type, ""Annotation %s with null annotationType()"", a1) |==> <NO-OP>
"
46,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils@equals:132:""Annotation %s with null annotationType()"" |==> null
"
47,STD,[],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@equals:132:Validate.notNull(type2, ""Annotation %s with null annotationType()"", a2) |==> <NO-OP>
"
48,COR,['1'],"type.equals(type2):TRUE:org.apache.commons.lang3.AnnotationUtils@equals:133:type.equals(type2) |==> false
"
49,COR,[],"type.equals(type2):FALSE:org.apache.commons.lang3.AnnotationUtils@equals:133:type.equals(type2) |==> true
"
50,LVR,[],"FALSE:TRUE:org.apache.commons.lang3.AnnotationUtils@equals:134:false |==> true
"
51,LVR,['1'],"0:POS:org.apache.commons.lang3.AnnotationUtils@equals:138:0 |==> 1
"
52,LVR,['1'],"0:NEG:org.apache.commons.lang3.AnnotationUtils@equals:138:0 |==> -1
"
53,ROR,[],"==(int,int):<=(int,int):org.apache.commons.lang3.AnnotationUtils@equals:138:m.getParameterTypes().length == 0 |==> m.getParameterTypes().length <= 0
"
54,ROR,[],"==(int,int):>=(int,int):org.apache.commons.lang3.AnnotationUtils@equals:138:m.getParameterTypes().length == 0 |==> m.getParameterTypes().length >= 0
"
55,ROR,['1'],"==(int,int):FALSE(int,int):org.apache.commons.lang3.AnnotationUtils@equals:138:m.getParameterTypes().length == 0 |==> false
"
56,COR,[],"&&(boolean,boolean):==(boolean,boolean):org.apache.commons.lang3.AnnotationUtils@equals:138:m.getParameterTypes().length == 0 && isValidAnnotationMemberType(m.getReturnType()) |==> m.getParameterTypes().length == 0 == isValidAnnotationMemberType(m.getReturnType())
"
57,COR,['1'],"&&(boolean,boolean):FALSE(boolean,boolean):org.apache.commons.lang3.AnnotationUtils@equals:139:m.getParameterTypes().length == 0 && isValidAnnotationMemberType(m.getReturnType()) |==> false
"
58,COR,[],"&&(boolean,boolean):LHS(boolean,boolean):org.apache.commons.lang3.AnnotationUtils@equals:138:m.getParameterTypes().length == 0 && isValidAnnotationMemberType(m.getReturnType()) |==> m.getParameterTypes().length == 0
"
59,COR,[],"&&(boolean,boolean):RHS(boolean,boolean):org.apache.commons.lang3.AnnotationUtils@equals:139:m.getParameterTypes().length == 0 && isValidAnnotationMemberType(m.getReturnType()) |==> isValidAnnotationMemberType(m.getReturnType())
"
60,STD,['1'],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@equals:140:final Object v1 = m.invoke(a1) |==> <NO-OP>
"
61,STD,['1'],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@equals:141:final Object v2 = m.invoke(a2) |==> <NO-OP>
"
62,COR,['1'],"memberEquals(m.getReturnType(), v1, v2):TRUE:org.apache.commons.lang3.AnnotationUtils@equals:142:memberEquals(m.getReturnType(), v1, v2) |==> false
"
63,COR,['1'],"memberEquals(m.getReturnType(), v1, v2):FALSE:org.apache.commons.lang3.AnnotationUtils@equals:142:memberEquals(m.getReturnType(), v1, v2) |==> true
"
64,LVR,['1'],"FALSE:TRUE:org.apache.commons.lang3.AnnotationUtils@equals:143:false |==> true
"
65,LVR,[],"FALSE:TRUE:org.apache.commons.lang3.AnnotationUtils@equals:148:false |==> true
"
66,LVR,[],"FALSE:TRUE:org.apache.commons.lang3.AnnotationUtils@equals:150:false |==> true
"
67,LVR,['1'],"TRUE:FALSE:org.apache.commons.lang3.AnnotationUtils@equals:152:true |==> false
"
68,LVR,['1'],"0:POS:org.apache.commons.lang3.AnnotationUtils@hashCode:168:0 |==> 1
"
69,LVR,['1'],"0:NEG:org.apache.commons.lang3.AnnotationUtils@hashCode:168:0 |==> -1
"
70,STD,['1'],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@hashCode:169:final Class<? extends Annotation> type = a.annotationType() |==> <NO-OP>
"
71,STD,['1'],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@hashCode:172:final Object value = m.invoke(a) |==> <NO-OP>
"
72,ROR,[],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.apache.commons.lang3.AnnotationUtils@hashCode:173:value == null |==> false
"
73,LVR,[],"<CLASS>:<NULL>:org.apache.commons.lang3.AnnotationUtils@hashCode:175:""Annotation method %s returned null"" |==> null
"
74,STD,['1'],"<ASSIGN>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@hashCode:177:result += hashMember(m.getName(), value) |==> <NO-OP>
"
75,STD,['1'],"<CALL>:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@hashCode:184:return result; |==> return 0;
"
76,STD,['1'],"ASSIGN:<NO-OP>:org.apache.commons.lang3.AnnotationUtils@toString:196:final ToStringBuilder builder = new ToStringBuilder(a, TO_STRING_STYLE) |==> <NO-OP>
"
77,LVR,[],"0:POS:org.apache.commons.lang3.AnnotationUtils@toString:198:0 |==> 1
"
78,LVR,['1'],"0:NEG:org.apache.commons.lang3.AnnotationUtils@toString:198:0 |==> -1
"
79,ROR,[],">(int,int):!=(int,int):org.apache.commons.lang3.AnnotationUtils@toString:198:m.getParameterTypes().length > 0 |==> m.getParameterTypes().length != 0
"
80,ROR,['1'],">(int,int):>=(int,int):org.apache.commons.lang3.AnnotationUtils@toString:198:m.getParameterTypes().length > 0 |==> m.getParameterTypes().length >= 0
"
