Suite,AOR,LOR,COR,ROR,SOR,ORU,STD,LVR
24,0.0,0,0.0,0.5,0,0,0.0,0.2
25,0.0,0,0.0,0.5,0,0,0.0,0.2
26,0.0,0,0.0,0.5,0,0,0.0,0.2
27,0.0,0,0.0,0.5,0,0,0.0,0.2
20,0.3611111111111111,0,0.5,0.7272727272727273,0,0,0.6666666666666666,0.6530612244897959
21,0.0,0,0.0,0.5,0,0,0.0,0.2
22,0.0,0,0.0,0.5,0,0,0.0,0.3333333333333333
23,0.0,0,0.0,0.6666666666666666,0,0,0.0,0.5
28,0.0,0,0.0,0.5,0,0,0.0,0.2
29,0.0,0,0.0,0.6666666666666666,0,0,0.0,0.5
4,0.0,0,0.0,0.0,0,0,0.0,0.0
8,0.0,0,0.0,0.5,0,0,0.0,0.2
119,0.0,0,0.0,0.6666666666666666,0,0,0.0,0.5
120,0.0,0,0.0,0.6666666666666666,0,0,0.0,0.5
121,0.0,0,0.0,0.6666666666666666,0,0,0.0,0.5
122,0.0,0,0.0,0.6666666666666666,0,0,0.0,0.5
123,0.0,0,0.0,0.6666666666666666,0,0,0.0,0.5
118,0.0,0,0.0,0.5,0,0,0.0,0.2
59,0.0,0,0.0,0.5,0,0,0.0,0.2
58,0.0,0,0.0,0.5,0,0,0.0,0.2
55,0.0,0,0.0,0.5,0,0,0.0,0.2
54,0.0,0,0.0,0.5,0,0,0.0,0.2
57,0.0,0,0.0,0.5,0,0,0.0,0.2
56,0.0,0,0.0,0.5,0,0,0.0,0.2
51,0.0,0,0.0,0.5,0,0,0.0,0.2
50,0.0,0,0.0,0.6666666666666666,0,0,0.0,0.5
53,0.0,0,0.0,0.5,0,0,0.0,0.2
52,0.0,0,0.0,0.5,0,0,0.0,0.2
115,0.0,0,0.0,0.5,0,0,0.0,0.2
114,0.0,0,0.0,0.5,0,0,0.0,0.2
88,0.0,0,0.0,0.5,0,0,0.0,0.2
89,0.0,0,0.0,0.5,0,0,0.0,0.2
111,0.0,0,0.0,1.0,0,0,1.0,0.2
110,0.0,0,0.0,0.5,0,0,0.0,0.2
113,0.0,0,0.0,0.5,0,0,0.0,0.2
112,0.6944444444444444,0,0.125,0.3,0,0,0.14285714285714285,0.6071428571428571
82,0.0,0,0.0,0.5,0,0,0.0,0.3333333333333333
83,0.0,0,0.0,0.5,0,0,0.0,0.2
80,0.0,0,0.0,0.5,0,0,0.0,0.2
81,0.0,0,0.0,0.5,0,0,0.0,0.2
86,0.0,0,0.0,0.5,0,0,0.0,0.2
87,0.9285714285714286,0,0.375,0.30952380952380953,0,0,0.2857142857142857,0.6666666666666666
84,0.0,0,0.0,0.5,0,0,0.0,0.2
85,0.9285714285714286,0,0.375,0.30952380952380953,0,0,0.2857142857142857,0.6666666666666666
3,0.0,0,0.0,0.42857142857142855,0,0,0.0,0.46153846153846156
7,0.0,0,0.0,0.5,0,0,0.0,0.2
