Mutant Number,Operator Class,Killed by,Description
1,LVR,"['1', '2', '3', '4']","0:POS:triangle.Triangle@classify:20:0 |==> 1
"
2,LVR,['2'],"0:NEG:triangle.Triangle@classify:20:0 |==> -1
"
3,ROR,['2'],"<=(int,int):<(int,int):triangle.Triangle@classify:20:a <= 0 |==> a < 0
"
4,ROR,['2'],"<=(int,int):==(int,int):triangle.Triangle@classify:20:a <= 0 |==> a == 0
"
5,ROR,"['1', '2', '3', '4']","<=(int,int):TRUE(int,int):triangle.Triangle@classify:20:a <= 0 |==> true
"
6,LVR,"['1', '2', '3', '4']","0:POS:triangle.Triangle@classify:20:0 |==> 1
"
7,LVR,['2'],"0:NEG:triangle.Triangle@classify:20:0 |==> -1
"
8,ROR,['2'],"<=(int,int):<(int,int):triangle.Triangle@classify:20:b <= 0 |==> b < 0
"
9,ROR,['2'],"<=(int,int):==(int,int):triangle.Triangle@classify:20:b <= 0 |==> b == 0
"
10,ROR,"['1', '2', '3', '4']","<=(int,int):TRUE(int,int):triangle.Triangle@classify:20:b <= 0 |==> true
"
11,COR,[],"||(boolean,boolean):!=(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 |==> a <= 0 != b <= 0
"
12,COR,['2'],"||(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 |==> a <= 0
"
13,COR,['2'],"||(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 |==> b <= 0
"
14,COR,"['1', '2', '3', '4']","||(boolean,boolean):TRUE(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 |==> true
"
15,LVR,"['1', '2', '3', '4']","0:POS:triangle.Triangle@classify:20:0 |==> 1
"
16,LVR,"['1', '2']","0:NEG:triangle.Triangle@classify:20:0 |==> -1
"
17,ROR,"['1', '2']","<=(int,int):<(int,int):triangle.Triangle@classify:20:c <= 0 |==> c < 0
"
18,ROR,['2'],"<=(int,int):==(int,int):triangle.Triangle@classify:20:c <= 0 |==> c == 0
"
19,ROR,"['1', '2', '3', '4']","<=(int,int):TRUE(int,int):triangle.Triangle@classify:20:c <= 0 |==> true
"
20,COR,"['1', '2', '3']","||(boolean,boolean):!=(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 || c <= 0 |==> (a <= 0 || b <= 0) != c <= 0
"
