Mutant Number,Operator Class,Killed by,Description
1,LVR,"['54', '55', '56', '57']","0:POS:triangle.Triangle@classify:20:0 |==> 1
"
2,LVR,['35'],"0:NEG:triangle.Triangle@classify:20:0 |==> -1
"
3,ROR,['35'],"<=(int,int):<(int,int):triangle.Triangle@classify:20:a <= 0 |==> a < 0
"
4,ROR,['42'],"<=(int,int):==(int,int):triangle.Triangle@classify:20:a <= 0 |==> a == 0
"
5,ROR,"['8', '9', '10', '14', '22', '26', '27', '28', '29', '34', '49', '50', '51', '52', '54', '55', '56', '57']","<=(int,int):TRUE(int,int):triangle.Triangle@classify:20:a <= 0 |==> true
"
6,LVR,"['54', '55', '56', '57']","0:POS:triangle.Triangle@classify:20:0 |==> 1
"
7,LVR,['37'],"0:NEG:triangle.Triangle@classify:20:0 |==> -1
"
8,ROR,['37'],"<=(int,int):<(int,int):triangle.Triangle@classify:20:b <= 0 |==> b < 0
"
9,ROR,['43'],"<=(int,int):==(int,int):triangle.Triangle@classify:20:b <= 0 |==> b == 0
"
10,ROR,"['8', '9', '10', '14', '22', '26', '27', '28', '29', '34', '49', '50', '51', '52', '54', '55', '56', '57']","<=(int,int):TRUE(int,int):triangle.Triangle@classify:20:b <= 0 |==> true
"
11,COR,[],"||(boolean,boolean):!=(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 |==> a <= 0 != b <= 0
"
12,COR,"['37', '43']","||(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 |==> a <= 0
"
13,COR,"['35', '42']","||(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 |==> b <= 0
"
14,COR,"['8', '9', '10', '14', '22', '26', '27', '28', '29', '34', '49', '50', '51', '52', '54', '55', '56', '57']","||(boolean,boolean):TRUE(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 |==> true
"
15,LVR,"['54', '55', '56', '57']","0:POS:triangle.Triangle@classify:20:0 |==> 1
"
16,LVR,"['13', '36', '40']","0:NEG:triangle.Triangle@classify:20:0 |==> -1
"
17,ROR,"['13', '36', '40']","<=(int,int):<(int,int):triangle.Triangle@classify:20:c <= 0 |==> c < 0
"
18,ROR,['44'],"<=(int,int):==(int,int):triangle.Triangle@classify:20:c <= 0 |==> c == 0
"
19,ROR,"['8', '9', '10', '14', '22', '26', '27', '28', '29', '34', '49', '50', '51', '52', '54', '55', '56', '57']","<=(int,int):TRUE(int,int):triangle.Triangle@classify:20:c <= 0 |==> true
"
20,COR,"['11', '38', '53']","||(boolean,boolean):!=(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 || c <= 0 |==> (a <= 0 || b <= 0) != c <= 0
"
21,COR,"['13', '36', '40', '44']","||(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 || c <= 0 |==> a <= 0 || b <= 0
"
22,COR,"['35', '37', '42', '43']","||(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 || c <= 0 |==> c <= 0
"
23,COR,"['8', '9', '10', '14', '22', '26', '27', '28', '29', '34', '49', '50', '51', '52', '54', '55', '56', '57']","||(boolean,boolean):TRUE(boolean,boolean):triangle.Triangle@classify:20:a <= 0 || b <= 0 || c <= 0 |==> true
"
24,STD,"['11', '12', '13', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '53']","<CALL>:<NO-OP>:triangle.Triangle@classify:21:return Type.INVALID; |==> return null;
"
25,LVR,"['3', '4', '5', '6', '7', '9', '14', '17', '18', '19', '20', '21', '22', '24', '25', '26', '28', '30', '31', '32', '33', '34', '48', '50', '52']","0:POS:triangle.Triangle@classify:23:0 |==> 1
"
26,LVR,"['6', '7', '8', '14', '20', '21', '22', '26', '27', '32', '33', '49', '52']","0:NEG:triangle.Triangle@classify:23:0 |==> -1
"
27,ROR,"['4', '6', '14', '18', '20', '22', '25', '32', '34', '52']","==(int,int):<=(int,int):triangle.Triangle@classify:24:a == b |==> a <= b
"
28,ROR,"['3', '7', '9', '17', '21', '24', '26', '28', '33', '50']","==(int,int):>=(int,int):triangle.Triangle@classify:24:a == b |==> a >= b
"
29,ROR,"['8', '27', '49']","==(int,int):FALSE(int,int):triangle.Triangle@classify:24:a == b |==> false
"
30,LVR,"['8', '27', '49']","POS:0:triangle.Triangle@classify:25:1 |==> 0
"
31,LVR,"['8', '27', '49']","POS:NEG:triangle.Triangle@classify:25:1 |==> -1
"
32,AOR,"['8', '27', '49']","+(int,int):%(int,int):triangle.Triangle@classify:25:trian + 1 |==> trian % 1
"
33,AOR,"['8', '27', '49']","+(int,int):*(int,int):triangle.Triangle@classify:25:trian + 1 |==> trian * 1
"
